id	family	query	decl_type	decl_mult	sql	java_class	value	status	verdict
ar.rem.zero	arith	|rem(7,0)	Number	[1]	SELECT CASE WHEN 0 = 0 THEN error(concat('Cannot divide ', CAST(7 AS VARCHAR), ' by zero')) ELSE MOD(7, 0) END AS value			EXEC-ERR:SQLException: Invalid Input Error: Cannot divide 7 by zero	DB-ERROR
ar.div.zero.i	arith	|7 / 0	Float	[1]	SELECT ((1.0 * 7) / 0) AS value	Double	Infinity	OK	OK
ar.div.zero.f	arith	|7.0 / 0.0	Float	[1]	SELECT ((1.0 * CAST(7.0 AS DOUBLE)) / CAST(0.0 AS DOUBLE)) AS value	Double	Infinity	OK	OK
ar.divide.zero	arith	|divide(7,0)	Float	[1]	SELECT ((1.0 * 7) / 0) AS value	Double	Infinity	OK	OK
ar.abs.-3	arith	|abs(-3)	Integer	[1]	SELECT abs(-3) AS value	Integer	3	OK	OK
ar.sign.-3	arith	|sign(-3)	Integer	[1]	SELECT CAST(sign(-3) AS BIGINT) AS value	Long	-1	OK	OK
ar.abs.3	arith	|abs(3)	Integer	[1]	SELECT abs(3) AS value	Integer	3	OK	OK
ar.sign.3	arith	|sign(3)	Integer	[1]	SELECT CAST(sign(3) AS BIGINT) AS value	Long	1	OK	OK
ar.abs.-3.5	arith	|abs(-3.5)	Float	[1]	SELECT abs(CAST(-3.5 AS DOUBLE)) AS value	Double	3.5	OK	OK
ar.sign.-3.5	arith	|sign(-3.5)	Integer	[1]	SELECT CAST(sign(CAST(-3.5 AS DOUBLE)) AS BIGINT) AS value	Long	-1	OK	OK
ar.abs.3.5	arith	|abs(3.5)	Float	[1]	SELECT abs(CAST(3.5 AS DOUBLE)) AS value	Double	3.5	OK	OK
ar.sign.3.5	arith	|sign(3.5)	Integer	[1]	SELECT CAST(sign(CAST(3.5 AS DOUBLE)) AS BIGINT) AS value	Long	1	OK	OK
ar.abs.0	arith	|abs(0)	Integer	[1]	SELECT abs(0) AS value	Integer	0	OK	OK
ar.sign.0	arith	|sign(0)	Integer	[1]	SELECT CAST(sign(0) AS BIGINT) AS value	Long	0	OK	OK
ar.abs.dec	arith	|abs(-3.5d)	Decimal(38,1)	[1]	SELECT abs(-3.5) AS value	BigDecimal	3.5	OK	OK
ar.pow.ii	arith	|pow(2,10)	Number	[1]	SELECT power(2, 10) AS value	Double	1024.0	OK	OK
ar.pow.frac	arith	|pow(2,0.5)	Number	[1]	SELECT power(2, CAST(0.5 AS DOUBLE)) AS value	Double	1.4142135623730951	OK	OK
ar.pow.neg	arith	|pow(2,-2)	Number	[1]	SELECT power(2, -2) AS value	Double	0.25	OK	OK
ar.pow.negbase	arith	|pow(-2,3)	Number	[1]	SELECT power(-2, 3) AS value	Double	-8.0	OK	OK
ar.pow.negbase.frac	arith	|pow(-2,0.5)	Number	[1]	SELECT power(-2, CAST(0.5 AS DOUBLE)) AS value	Double	NaN	OK	OK
ar.pow.zero	arith	|pow(0,0)	Number	[1]	SELECT power(0, 0) AS value	Double	1.0	OK	OK
ar.exp	arith	|exp(1)	Float	[1]	SELECT exp(1) AS value	Double	2.718281828459045	OK	OK
ar.log	arith	|log(1)	Float	[1]	SELECT ln(1) AS value	Double	0.0	OK	OK
ar.log.zero	arith	|log(0)	Float	[1]	SELECT ln(0) AS value			EXEC-ERR:SQLException: Out of Range Error: cannot take logarithm of zero	DB-ERROR
ar.log.neg	arith	|log(-1)	Float	[1]	SELECT ln(-1) AS value			EXEC-ERR:SQLException: Out of Range Error: cannot take logarithm of a negative number	DB-ERROR
ar.log10	arith	|log10(100)	Float	[1]	SELECT log10(100) AS value	Double	2.0	OK	OK
ar.sqrt	arith	|sqrt(16)	Float	[1]	SELECT CASE WHEN CAST(16 AS DOUBLE) < 0 THEN error(concat('Unable to compute sqrt of ', CASE WHEN strpos(CAST(CAST(16 AS DOUBLE) AS VARCHAR), 'e') > 0 AND CAST(16 AS DOUBLE) = floor(CAST(16 AS DOUBLE)) AND abs(CAST(16 AS DOUBLE)) < CAST(1.0E38 AS DOUBLE) THEN concat(CAST(CAST(CAST(16 AS DOUBLE) AS HUGEINT) AS VARCHAR), '.0') WHEN strpos(CAST(CAST(16 AS DOUBLE) AS VARCHAR), 'e') > 0 AND abs(CAST(16 AS DOUBLE)) >= CAST(1.0E-17 AS DOUBLE) AND abs(CAST(16 AS DOUBLE)) < CAST(9.007199254740992E15 AS DOUBLE) THEN CASE WHEN ends_with(rtrim(CAST(CAST(CAST(16 AS DOUBLE) AS DECIMAL(38, 18)) AS VARCHAR), '0'), '.') THEN concat(rtrim(CAST(CAST(CAST(16 AS DOUBLE) AS DECIMAL(38, 18)) AS VARCHAR), '0'), '0') ELSE rtrim(CAST(CAST(CAST(16 AS DOUBLE) AS DECIMAL(38, 18)) AS VARCHAR), '0') END ELSE CAST(CAST(16 AS DOUBLE) AS VARCHAR) END)) ELSE sqrt(16) END AS value	Double	4.0	OK	OK
ar.sqrt.neg	arith	|sqrt(-1)	Float	[1]	SELECT CASE WHEN CAST(-1 AS DOUBLE) < 0 THEN error(concat('Unable to compute sqrt of ', CASE WHEN strpos(CAST(CAST(-1 AS DOUBLE) AS VARCHAR), 'e') > 0 AND CAST(-1 AS DOUBLE) = floor(CAST(-1 AS DOUBLE)) AND abs(CAST(-1 AS DOUBLE)) < CAST(1.0E38 AS DOUBLE) THEN concat(CAST(CAST(CAST(-1 AS DOUBLE) AS HUGEINT) AS VARCHAR), '.0') WHEN strpos(CAST(CAST(-1 AS DOUBLE) AS VARCHAR), 'e') > 0 AND abs(CAST(-1 AS DOUBLE)) >= CAST(1.0E-17 AS DOUBLE) AND abs(CAST(-1 AS DOUBLE)) < CAST(9.007199254740992E15 AS DOUBLE) THEN CASE WHEN ends_with(rtrim(CAST(CAST(CAST(-1 AS DOUBLE) AS DECIMAL(38, 18)) AS VARCHAR), '0'), '.') THEN concat(rtrim(CAST(CAST(CAST(-1 AS DOUBLE) AS DECIMAL(38, 18)) AS VARCHAR), '0'), '0') ELSE rtrim(CAST(CAST(CAST(-1 AS DOUBLE) AS DECIMAL(38, 18)) AS VARCHAR), '0') END ELSE CAST(CAST(-1 AS DOUBLE) AS VARCHAR) END)) ELSE sqrt(-1) END AS value			EXEC-ERR:SQLException: Invalid Input Error: Unable to compute sqrt of -1.0	DB-ERROR
ar.cbrt	arith	|cbrt(27)	Float	[1]	SELECT cbrt(27) AS value	Double	3.0000000000000004	OK	OK
ar.round.0.5	arith	|round(0.5)	Integer	[1]	SELECT CAST(ROUND_EVEN(CAST(0.5 AS DOUBLE), 0) AS BIGINT) AS value	Long	0	OK	OK
ar.floor.0.5	arith	|floor(0.5)	Integer	[1]	SELECT CAST(floor(CAST(0.5 AS DOUBLE)) AS BIGINT) AS value	Long	0	OK	OK
ar.ceiling.0.5	arith	|ceiling(0.5)	Integer	[1]	SELECT CAST(ceil(CAST(0.5 AS DOUBLE)) AS BIGINT) AS value	Long	1	OK	OK
ar.round.1.5	arith	|round(1.5)	Integer	[1]	SELECT CAST(ROUND_EVEN(CAST(1.5 AS DOUBLE), 0) AS BIGINT) AS value	Long	2	OK	OK
ar.floor.1.5	arith	|floor(1.5)	Integer	[1]	SELECT CAST(floor(CAST(1.5 AS DOUBLE)) AS BIGINT) AS value	Long	1	OK	OK
ar.ceiling.1.5	arith	|ceiling(1.5)	Integer	[1]	SELECT CAST(ceil(CAST(1.5 AS DOUBLE)) AS BIGINT) AS value	Long	2	OK	OK
ar.round.2.5	arith	|round(2.5)	Integer	[1]	SELECT CAST(ROUND_EVEN(CAST(2.5 AS DOUBLE), 0) AS BIGINT) AS value	Long	2	OK	OK
ar.floor.2.5	arith	|floor(2.5)	Integer	[1]	SELECT CAST(floor(CAST(2.5 AS DOUBLE)) AS BIGINT) AS value	Long	2	OK	OK
ar.ceiling.2.5	arith	|ceiling(2.5)	Integer	[1]	SELECT CAST(ceil(CAST(2.5 AS DOUBLE)) AS BIGINT) AS value	Long	3	OK	OK
ar.round.-0.5	arith	|round(-0.5)	Integer	[1]	SELECT CAST(ROUND_EVEN(CAST(-0.5 AS DOUBLE), 0) AS BIGINT) AS value	Long	0	OK	OK
ar.floor.-0.5	arith	|floor(-0.5)	Integer	[1]	SELECT CAST(floor(CAST(-0.5 AS DOUBLE)) AS BIGINT) AS value	Long	-1	OK	OK
ar.ceiling.-0.5	arith	|ceiling(-0.5)	Integer	[1]	SELECT CAST(ceil(CAST(-0.5 AS DOUBLE)) AS BIGINT) AS value	Long	0	OK	OK
ar.round.-1.5	arith	|round(-1.5)	Integer	[1]	SELECT CAST(ROUND_EVEN(CAST(-1.5 AS DOUBLE), 0) AS BIGINT) AS value	Long	-2	OK	OK
ar.floor.-1.5	arith	|floor(-1.5)	Integer	[1]	SELECT CAST(floor(CAST(-1.5 AS DOUBLE)) AS BIGINT) AS value	Long	-2	OK	OK
ar.ceiling.-1.5	arith	|ceiling(-1.5)	Integer	[1]	SELECT CAST(ceil(CAST(-1.5 AS DOUBLE)) AS BIGINT) AS value	Long	-1	OK	OK
ar.round.-2.5	arith	|round(-2.5)	Integer	[1]	SELECT CAST(ROUND_EVEN(CAST(-2.5 AS DOUBLE), 0) AS BIGINT) AS value	Long	-2	OK	OK
ar.floor.-2.5	arith	|floor(-2.5)	Integer	[1]	SELECT CAST(floor(CAST(-2.5 AS DOUBLE)) AS BIGINT) AS value	Long	-3	OK	OK
ar.ceiling.-2.5	arith	|ceiling(-2.5)	Integer	[1]	SELECT CAST(ceil(CAST(-2.5 AS DOUBLE)) AS BIGINT) AS value	Long	-2	OK	OK
ar.round.2.4	arith	|round(2.4)	Integer	[1]	SELECT CAST(ROUND_EVEN(CAST(2.4 AS DOUBLE), 0) AS BIGINT) AS value	Long	2	OK	OK
ar.floor.2.4	arith	|floor(2.4)	Integer	[1]	SELECT CAST(floor(CAST(2.4 AS DOUBLE)) AS BIGINT) AS value	Long	2	OK	OK
ar.ceiling.2.4	arith	|ceiling(2.4)	Integer	[1]	SELECT CAST(ceil(CAST(2.4 AS DOUBLE)) AS BIGINT) AS value	Long	3	OK	OK
ar.round.2.6	arith	|round(2.6)	Integer	[1]	SELECT CAST(ROUND_EVEN(CAST(2.6 AS DOUBLE), 0) AS BIGINT) AS value	Long	3	OK	OK
ar.floor.2.6	arith	|floor(2.6)	Integer	[1]	SELECT CAST(floor(CAST(2.6 AS DOUBLE)) AS BIGINT) AS value	Long	2	OK	OK
ar.ceiling.2.6	arith	|ceiling(2.6)	Integer	[1]	SELECT CAST(ceil(CAST(2.6 AS DOUBLE)) AS BIGINT) AS value	Long	3	OK	OK
ar.round.-2.4	arith	|round(-2.4)	Integer	[1]	SELECT CAST(ROUND_EVEN(CAST(-2.4 AS DOUBLE), 0) AS BIGINT) AS value	Long	-2	OK	OK
ar.floor.-2.4	arith	|floor(-2.4)	Integer	[1]	SELECT CAST(floor(CAST(-2.4 AS DOUBLE)) AS BIGINT) AS value	Long	-3	OK	OK
ar.ceiling.-2.4	arith	|ceiling(-2.4)	Integer	[1]	SELECT CAST(ceil(CAST(-2.4 AS DOUBLE)) AS BIGINT) AS value	Long	-2	OK	OK
ar.round.-2.6	arith	|round(-2.6)	Integer	[1]	SELECT CAST(ROUND_EVEN(CAST(-2.6 AS DOUBLE), 0) AS BIGINT) AS value	Long	-3	OK	OK
ar.floor.-2.6	arith	|floor(-2.6)	Integer	[1]	SELECT CAST(floor(CAST(-2.6 AS DOUBLE)) AS BIGINT) AS value	Long	-3	OK	OK
ar.ceiling.-2.6	arith	|ceiling(-2.6)	Integer	[1]	SELECT CAST(ceil(CAST(-2.6 AS DOUBLE)) AS BIGINT) AS value	Long	-2	OK	OK
ar.round.scale.f	arith	|round(2.345,2)	Float	[1]	SELECT ROUND_EVEN(CAST(2.345 AS DOUBLE), 2) AS value	Double	2.34	OK	OK
ar.round.scale.f5	arith	|round(2.5,0)	Float	[1]	SELECT ROUND_EVEN(CAST(2.5 AS DOUBLE), 0) AS value	Double	2.0	OK	OK
ar.round.scale.dec	arith	|round(2.345d,2)	Decimal	[1]	SELECT CAST(ROUND_EVEN(2.345, 2) AS DECIMAL(38, 2)) AS value	BigDecimal	2.34	OK	OK
ar.round.scale.dec5	arith	|round(0.125d,2)	Decimal	[1]	SELECT CAST(ROUND_EVEN(0.125, 2) AS DECIMAL(38, 2)) AS value	BigDecimal	0.12	OK	OK
ar.round.int	arith	|round(3)	Integer	[1]	SELECT CAST(ROUND_EVEN(3, 0) AS BIGINT) AS value	Long	3	OK	OK
ar.max.ii	arith	|max(3,7)	Integer	[1]	SELECT greatest(3, 7) AS value	Integer	7	OK	OK
ar.max.ff	arith	|max(3.5,7.5)	Float	[1]	SELECT greatest(CAST(3.5 AS DOUBLE), CAST(7.5 AS DOUBLE)) AS value	Double	7.5	OK	OK
ar.max.nn	arith	|max(3,7.5)	Number	[1]	SELECT CAST(list_extract([CAST(3 AS VARCHAR), CASE WHEN regexp_full_match(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?0+(\.0+)?') THEN '0.0' WHEN strpos(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), 'e') > 0 THEN concat(CASE WHEN starts_with(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-') THEN '-' ELSE '' END, CASE WHEN CASE WHEN strpos(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.') = 0 THEN length(CAST(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1) AS VARCHAR)) ELSE strpos(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.') - 1 END + CAST(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), 'e([+-]?[0-9]+)$', 1) AS INTEGER) <= 0 THEN concat('0.', rpad('', CAST(greatest(0 - (CASE WHEN strpos(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.') = 0 THEN length(CAST(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1) AS VARCHAR)) ELSE strpos(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.') - 1 END + CAST(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), 'e([+-]?[0-9]+)$', 1) AS INTEGER)), 0) AS INTEGER), '0'), replace(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.', '')) WHEN CASE WHEN strpos(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.') = 0 THEN length(CAST(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1) AS VARCHAR)) ELSE strpos(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.') - 1 END + CAST(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), 'e([+-]?[0-9]+)$', 1) AS INTEGER) >= length(CAST(replace(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.', '') AS VARCHAR)) THEN concat(replace(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.', ''), rpad('', CAST(greatest(CASE WHEN strpos(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.') = 0 THEN length(CAST(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1) AS VARCHAR)) ELSE strpos(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.') - 1 END + CAST(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), 'e([+-]?[0-9]+)$', 1) AS INTEGER) - length(CAST(replace(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.', '') AS VARCHAR)), 0) AS INTEGER), '0'), '.0') ELSE concat(substr(replace(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.', ''), 1, CASE WHEN strpos(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.') = 0 THEN length(CAST(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1) AS VARCHAR)) ELSE strpos(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.') - 1 END + CAST(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), 'e([+-]?[0-9]+)$', 1) AS INTEGER)), '.', substr(replace(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.', ''), greatest(CASE WHEN strpos(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.') = 0 THEN length(CAST(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1) AS VARCHAR)) ELSE strpos(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '-?([0-9]+(?:\.[0-9]+)?)e', 1), '.') - 1 END + CAST(regexp_extract(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), 'e([+-]?[0-9]+)$', 1) AS INTEGER) + 1, 1))) END) WHEN NOT strpos(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '.') > 0 THEN concat(CAST(CAST(7.5 AS DOUBLE) AS VARCHAR), '.0') ELSE CAST(CAST(7.5 AS DOUBLE) AS VARCHAR) END], list_position([CAST(3 AS DOUBLE), CAST(7.5 AS DOUBLE)], list_max([CAST(3 AS DOUBLE), CAST(7.5 AS DOUBLE)]))) AS VARCHAR) AS value	Double	7.5	OK	OK
ar.min.ii	arith	|min(3,7)	Integer	[1]	SELECT least(3, 7) AS value	Integer	3	OK	OK
ar.min.ff	arith	|min(3.5,7.5)	Float	[1]	SELECT least(CAST(3.5 AS DOUBLE), CAST(7.5 AS DOUBLE)) AS value	Double	3.5	OK	OK
