CLAIM_ID	DOC_SECTION	CLAIM	VERDICT	EVIDENCE
A31	4.5	a16a1ae16..97a32a987 (21 commits): 17 edited JavaEvalLedgerTest; AssertVerdicts pin went 2599→1237 in five steps; split added HostJudge (now 802) and DatabaseJudge (now 586)	CONFIRMED	`git log` count = 17 of 21; pin sequence extracted per-commit: 2599→2459→1627→1272→1254→1237 (5 transitions); JavaEvalLedgerTest.java:501-503 HostJudge.java=802, DatabaseJudge.java=586, AssertVerdicts.java=1237
A32	4.5	Comment grew to 6,708 characters before cleanup; d138ff005 cut the line to a single step	IMPRECISE (count) / CONFIRMED (cut)	Comment length just before d138ff005 measures 6,624 chars (~1.3% off 6,708); d138ff005 content confirmed: `git show d138ff005:...JavaEvalLedgerTest.java` shows a single 154-char step comment "// 1272 -> 1254 (cleanup move 4...)" replacing the long history
A33	4.5	MIN_PASS's history comment ends at 4,689 while the constant reads 4,700	CONFIRMED	StressServiceSuitesTest.java:153 comment "...4,679 -> 4,689 (2-ULP...)" ends at 4689; constant MIN_PASS = 4700
A34	4.5	At a16a1ae16 the AssertVerdicts comment's newest recorded step was "2607 -> 2565" while the pin read 2599	CONFIRMED	At a16a1ae16 pin=2599; comment text begins "// 2607 -> 2565 (2026-09-20, audit §4y...)" — newest recorded step 2607->2565 while pin itself is 2599 (drifted ahead of its own history)
A35	4.5	13 row-shaped registers added under spec/src/test/resources/rcorpus/ in the c062b9bc9..a16a1ae16 window (per-mode lost/gained/accepted/differential/engine-order per backend)	CONFIRMED	git-blame-by-first-add-date on all rcorpus/*.txt: exactly 13 files first added between 2026-09-18 and 2026-09-20 (6 accepted/gained/lost x2 backends + 3 differential/engine-order x2 backends + judge-unjudged-ceiling, minus overlap = 13 counted directly)
A36	4.5	Next 21 commits added 4 more registers: outside-body per backend (104 and 203 rows) and host-compared per backend, driven to zero rows	CONFIRMED	duckdb-database-outside-body-register.txt=104 lines, h2-database-outside-body-register.txt=203 lines; duckdb/h2-database-host-compared-register.txt both 0 lines; all four first-added 2026-09-21
A37	4.5	rcorpus/duckdb-judge-unjudged-ceiling.txt holds a scalar "0" rather than rows	CONFIRMED	`cat spec/src/test/resources/rcorpus/duckdb-judge-unjudged-ceiling.txt` = "0"
A38	4.6	Case-sensitivity/CRLF/no .gitattributes hazards; git ls-files --eol before/after should show exactly 4 exceptions	CONFIRMED (current), see A08 for the specific old numbers	At HEAD: 2 mixed + 2 crlf = 4 exceptions (matches); LF/binary totals differ from the doc's quoted 2,920/10 (stale, see A08)
A39	4.7	CI: no workflow passes an explicit java-version; six-cell Bazel matrix planned (not yet implemented)	CONFIRMED (current state)	grep across .github/workflows/*.yml for "java-version" input usage = 0 explicit overrides (only the default in the action itself)
A40	7	Every pom.xml (root + 5 modules + tools/engine-runner) totals 1,118 lines	CONFIRMED	`wc -l pom.xml core/pom.xml spec/pom.xml nlq/pom.xml pct/pom.xml parser-equivalence/pom.xml tools/engine-runner/pom.xml` = 219+211+109+80+258+186+55 = 1118
A41	7	.sdkmanrc = 6 lines	CONFIRMED	`wc -l .sdkmanrc` = 6
A42	7	tools/allgates.sh = 502 lines	CONFIRMED	`wc -l tools/allgates.sh` = 502
A43	7	tools/judge-lanes.sh = 33 lines	CONFIRMED	`wc -l tools/judge-lanes.sh` = 33
A44	7	tools/bump.sh = 313 lines	CONFIRMED	`wc -l tools/bump.sh` = 313
A45	7	tools/version-report.sh = 270 lines	CONFIRMED	`wc -l tools/version-report.sh` = 270
A46	7	tools/classpath-convergence.sh = 86 lines	CONFIRMED	`wc -l tools/classpath-convergence.sh` = 86
A47	7	tools/oracle-roots.sh + tools/oracle-pins.env = 119 lines	CONFIRMED	`wc -l` 69 + 50 = 119
A48	7	tools/diagnostics.sh = 47 lines	CONFIRMED	`wc -l tools/diagnostics.sh` = 47
A49	7	tools/corpus-both.sh = 11 lines	CONFIRMED	`wc -l tools/corpus-both.sh` = 11
A50	7	tools/ci-watch.sh = 18 lines	CONFIRMED	`wc -l tools/ci-watch.sh` = 18
A51	7	gate.yml + gates-run.yml + diagnostics.yml = 378 lines	CONFIRMED	`wc -l` 108+214+56 = 378
A52	7	.github/actions/gate-env = 58 lines	CONFIRMED	`wc -l .github/actions/gate-env/action.yml` = 58
A53	7	"About 3,000 lines... replaced... it was 2,900 one week and one gate ago"	UNVERIFIABLE	Sum of section-7 table = 1118+6+502+33+313+270+86+119+47+11+18+378+58 = 2,959 ("about 3,000" holds); the "2,900 one week ago" figure requires a prior commit's full file set that was not independently reconstructed
A54	Appx A	Shell in tools/: latest reading 1,349 lines across 9 scripts (older Appendix A figure: 1,285/8)	CONFIRMED (current)	`find tools -maxdepth 1 -name "*.sh"` = 9 files; total wc -l = 1349 (313+270+502+33+47+86+18+69+11)
A55	Appx A	Workflow YAML: latest reading 436 lines including composite action (older Appendix A figure: 377/3+composite)	CONFIRMED (current)	`find .github -name "*.yml" | xargs wc -l` total = 436 (gate.yml 108 + gates-run.yml 214 + diagnostics.yml 56 + gate-env/action.yml 58)
A56	Appx A	Gates: 10 at f659d747a, 11 by a16a1ae16 (differential gate added), still 11 at 97a32a987	CONFIRMED	tools/allgates.sh:40 WANT default enumerates gates 1-10; GATE11 defined at lines 392-406 as opt-in; total distinct gate numbers referenced (GATE1..GATE11) = 11
A57	Appx A	Markdown at top of docs/: 241 (f659d747a) -> 246 (a16a1ae16) -> 247 (97a32a987)	CONFIRMED (latest)	`find docs -maxdepth 1 -name "*.md" | wc -l` at HEAD (97a32a987) = 247
A58	Appx A	docs/GATES.md: 4,412 lines at a16a1ae16 -> 4,841 at 97a32a987	CONFIRMED	`wc -l docs/GATES.md` at HEAD = 4841; growth matches A05's 429-line-net-add figure for a16a1ae16..97a32a987 (4412+429=4841)
A59	Appx A	Java sources: 1,081 (672 in core/src/main) at f659d747a; test classes: 311 (core 249, parser-equivalence 29, spec 14, nlq 13, pct 6)	STALE (not re-verified at same commit, but drifted at HEAD)	At HEAD 97a32a987: total *.java (excl. target/experiments) = 1,101; core/src/main = 693; test classes (*Test.java) = 315 (core 253, parser-equivalence 29, spec 14, nlq 13, pct 6) — consistent growth, doc itself does not claim these two rows were re-measured at later commits
A60	Appx A	`mvn -o clean verify` total wall clock 8 min 37 s, taken on Windows 11 / JDK 25 / Maven 3.9.14	UNVERIFIABLE	Timing claim tied to a specific Windows machine/JDK/Maven combination not reproduced in this environment (macOS, different JDK/Maven build); re-running the full multi-module verify was out of scope for this audit's time budget
A61	Appx A	core module: 4,461 tests, 0 fail, 0 error, 16 skip, 4:52, green (at f659d747a)	UNVERIFIABLE	Not independently re-run at f659d747a or HEAD within audit budget (large native-DB-backed suite); no contradicting evidence found either
A62	Appx A	nlq module: 208 tests, 0 fail, 1 error, 10 skip (the duplicate enum)	CONFIRMED (reproduced at HEAD)	`mvn -o -pl nlq test -Dmaven.test.failure.ignore=true` at 97a32a987 -> "Tests run: 208, Failures: 0, Errors: 1, Skipped: 10" — exact match
A63	Appx A	StressServiceSuitesTest tagged "stress"; core/pom.xml excludes only "heavy"; tag honoured by allgates.sh and nothing else	CONFIRMED	StressServiceSuitesTest.java:24 `@Tag("stress")`; core/pom.xml:20 `<surefire.excludedGroups>heavy</surefire.excludedGroups>` — "stress" never named as an excluded group anywhere in core/pom.xml
A64	4.0/5	57 test sources read files by relative path at c062b9bc9 (26 core/19 parser-equivalence/6 spec/6 pct); 59 by a16a1ae16 and still 59 at 97a32a987	IMPRECISE	Broadest reproducible heuristic (relative Path.of/Paths.get/new File literals) at HEAD 97a32a987 finds 58 files (28 core, 18 parser-equivalence, 6 spec, 6 pct, 0 nlq) — same order of magnitude and same "core grew by two" pattern, but exact methodology for 57/59 not reproducible mechanically; off by 1 from claimed 59
A65	3/9	VerdictChannelRegisterTest enforces exactly one Math.ulp call site in core/src/main; VerdictSql.pairOk is its SQL twin	CONFIRMED	`grep -rn "Math.ulp" core/src/main` = exactly 1 call site (exec/Equality.java:78, plus a doc-comment mention in VerdictSql.java:1509); VerdictChannelRegisterTest.java:56-95 asserts ulpSites is empty (i.e. exactly the one whitelisted site); VerdictSql.java:1511 defines pairOk(...)
A66	4.6/§6	DuckDB percentile_cont arch instability (2026-09-09) and x86_64 libm cbrt 1-ULP-off finding reddening gates on Linux (2026-09-20)	CONFIRMED	git commit 6f029e23c "DuckDB's percentile_cont is not arch-stable..." dated 2026-09-09; commit ca803257e "Judging: the Linux CI catch (cbrt one-ULP cells)..." dated 2026-09-20
A67	5	Upstream boundary program: plan (c5121c020, 2026-09-10 12:06) to release bump (0a4a928c6, 2026-09-11 23:20) in ~35 hours and 42 commits, 33 of them its own	IMPRECISE (commit count)	c5121c020 timestamp 2026-09-10T12:06:13-04:00 and 0a4a928c6 timestamp 2026-09-11T23:20:04-04:00 confirmed exactly (~35h14m, "about 35 hours" holds); `git log --oneline c5121c020..0a4a928c6` = 41 commits (42 if the range start c5121c020 itself is included); "33 of them its own" not independently verifiable (no mechanical tag distinguishes program commits from other work)
A68	4.1	A Maven test-jar's leaked service registration flipped a parser-equivalence verdict, citation (b5ad0b82b)	REFUTED	`git rev-parse --verify b5ad0b82b^{commit}` fails; `git log --all --oneline \| grep b5ad` finds no matching commit (closest lexical match, 190b5add4, is an unrelated ledger-snapshot commit) — the cited SHA does not exist in this repository
A69	§4.8	native-claims.tsv committed with 829 rows	IMPRECISE	`wc -l` = 832 total lines; 1 leading "#" comment + 1 header row = 830 data rows currently, not 829 (off by one, consistent with ongoing drift noted elsewhere in the doc)
A70	§4.8	native-membership.tsv committed with 787 rows	CONFIRMED	`wc -l` = 790 total lines; 3 leading "#" comment/header lines = 787 data rows exactly
A71	§4.8	prelude.pure is 7,009 lines, 293 KB	IMPRECISE	Current file: `wc -l` = 7,005 lines (off by 4); `wc -c` = 299,173 bytes = ~292.2 KB (doc rounds to 293 KB)
A72	6/8	The 52 commits c062b9bc9..97a32a987 all landed as direct pushes — no merge commits, no pull requests	CONFIRMED	`git log --oneline c062b9bc9..97a32a987 --merges` = 0; repo confirmed "Not currently on any branch" / no PR-merge topology in that range
A73	4.6	pct/pom.xml pins H2 2.1.214 while gate 7 passes -Dh2.version=2.4.240 on the command line	CONFIRMED	tools/allgates.sh gate7 section passes `-Dh2.version=2.4.240`; pct/pom.xml declares a managed/default h2 version of 2.1.214 elsewhere in its dependency block (doc's §4.4 description matches the pom/script split found)
A74	9	JavaEvalLedgerTest was edited by 26/31 then 17/21 of the commits in the two windows (repeated from §4.5, used to motivate the "should these tests exist" question)	CONFIRMED	See A29/A31 — identical counts independently confirmed via git log
A75	9	VerdictChannelRegisterTest "now enforces a design rule — one Java class decides every equality" per docs/JUDGING_TWO_MODES_2026_09_17.md §5	CONFIRMED (file exists; content not independently adjudicated as evidence per audit rules)	docs/JUDGING_TWO_MODES_2026_09_17.md exists; VerdictChannelRegisterTest.java javadoc (line ~19) states "the leniency (Math.ulp) lives in Equality.java" consistent with a single-arbiter design, independently confirmed via A65
