# Generated by mutants.py -- what legend-engine does with each damaged fixture.
# NOT a correctness oracle: it records behaviour, not what behaviour should be.
# legend-lite must produce the same verdict for the same input.
# fixture	operator	site	verdict	message
domain-enum-and-identifiers.pure	keyword-lowercase	APAC -> aPAC	ACCEPTED	
domain-enum-and-identifiers.pure	keyword-lowercase	Class -> class	REJECTED	Unexpected token
domain-enum-and-identifiers.pure	swap-siblings	as: String[1];	ACCEPTED	
domain-enum-and-identifiers.pure	swap-siblings	region: fixture::domain::Region[1];	ACCEPTED	
domain-enum-and-identifiers.pure	wrong-section	Pure -> Text	REJECTED	Unexpected token 'Enum'. Valid alternatives: ['Text']
externalformat-binding.pure	brace-body-to-paren	line at 1125	REJECTED	Unexpected token '('
externalformat-binding.pure	brace-body-to-paren	line at 1791	REJECTED	Unexpected token '('
externalformat-binding.pure	brace-body-to-paren	line at 2069	REJECTED	Unexpected token '('
externalformat-binding.pure	delete-field	import fixture::ef::*;	ACCEPTED	
externalformat-binding.pure	delete-field	format: FlatData;	REJECTED	Field 'format' is required
externalformat-binding.pure	delete-field	id: primary;	ACCEPTED	
externalformat-binding.pure	drop-semicolon	format: FlatData;	REJECTED	Unexpected token
externalformat-binding.pure	drop-semicolon	id: primary;	REJECTED	Unexpected token
externalformat-binding.pure	drop-semicolon	import fixture::ef::*;	REJECTED	Unexpected token
externalformat-binding.pure	duplicate-field	import fixture::ef::*;	ACCEPTED	
externalformat-binding.pure	duplicate-field	format: FlatData;	REJECTED	Field 'format' should be specified only once
externalformat-binding.pure	duplicate-field	id: primary;	REJECTED	Field 'id' should be specified only once
externalformat-binding.pure	keyword-lowercase	Address -> address	ACCEPTED	
externalformat-binding.pure	keyword-lowercase	Binding -> binding	ACCEPTED	
externalformat-binding.pure	keyword-lowercase	ExternalFormat -> externalFormat	ACCEPTED	
externalformat-binding.pure	swap-siblings	id: primary;	ACCEPTED	
externalformat-binding.pure	swap-siblings	location: 'people.schema';	ACCEPTED	
externalformat-binding.pure	swap-siblings	schemaSet: fixture::ef::FlatSet;	ACCEPTED	
externalformat-binding.pure	wrong-section	ExternalFormat -> Text	REJECTED	Unexpected token 'import'. Valid alternatives: ['Text']
generation-spec.pure	brace-body-to-paren	line at 806	REJECTED	Unexpected token '('
generation-spec.pure	brace-body-to-paren	line at 1024	REJECTED	Unexpected token '('
generation-spec.pure	brace-body-to-paren	line at 1190	REJECTED	Unexpected token '('
generation-spec.pure	delete-field	import fixture::gen::*;	ACCEPTED	
generation-spec.pure	delete-field	scopeElements: [fixture::gen::Person, fixture::gen];	ACCEPTED	
generation-spec.pure	delete-field	generationOutputPath: 'generated/avro';	ACCEPTED	
generation-spec.pure	drop-semicolon	scopeElements: [fixture::gen::Person, fixture::gen];	REJECTED	Unexpected token
generation-spec.pure	drop-semicolon	generationOutputPath: 'generated/avro';	REJECTED	no viable alternative at input 'generationOutputPath:'generated/avro'includeNamespace'
generation-spec.pure	drop-semicolon	import fixture::gen::*;	REJECTED	Unexpected token
generation-spec.pure	duplicate-field	import fixture::gen::*;	ACCEPTED	
generation-spec.pure	duplicate-field	scopeElements: [fixture::gen::Person, fixture::gen];	REJECTED	Field 'scopeElements' should be specified only once
generation-spec.pure	duplicate-field	generationOutputPath: 'generated/avro';	REJECTED	Field 'generationOutputPath' should be specified only once
generation-spec.pure	keyword-lowercase	Avro -> avro	ACCEPTED	
generation-spec.pure	keyword-lowercase	AvroConfig -> avroConfig	ACCEPTED	
generation-spec.pure	keyword-lowercase	FileGeneration -> fileGeneration	ACCEPTED	
generation-spec.pure	swap-siblings	scopeElements: [fixture::gen::Person, fixture::gen];	ACCEPTED	
generation-spec.pure	swap-siblings	generationOutputPath: 'generated/avro';	ACCEPTED	
generation-spec.pure	swap-siblings	includeNamespace: true;	ACCEPTED	
generation-spec.pure	wrong-section	FileGeneration -> Text	REJECTED	Unexpected token 'import'. Valid alternatives: ['Text']
graphfetch-subtype.pure	brace-body-to-paren	line at 553	REJECTED	Unexpected token '('. Valid alternatives: ['extends', 'projects', '[', '<']
graphfetch-subtype.pure	brace-body-to-paren	line at 636	REJECTED	Unexpected token 'street'. Valid alternatives: [')', '+', '-']
graphfetch-subtype.pure	brace-body-to-paren	line at 688	REJECTED	Unexpected token '('. Valid alternatives: ['extends', 'projects', '[', '<']
graphfetch-subtype.pure	delete-field	zipCode: String[1];	ACCEPTED	
graphfetch-subtype.pure	delete-field	street: String[1];	ACCEPTED	
graphfetch-subtype.pure	delete-field	area: Float[1];	ACCEPTED	
graphfetch-subtype.pure	drop-semicolon	zipCode: String[1];	REJECTED	Unexpected token '}'. Valid alternatives: ['=', ';']
graphfetch-subtype.pure	drop-semicolon	street: String[1];	REJECTED	Unexpected token '}'. Valid alternatives: ['=', ';']
graphfetch-subtype.pure	drop-semicolon	area: Float[1];	REJECTED	Unexpected token '}'. Valid alternatives: ['=', ';']
graphfetch-subtype.pure	duplicate-field	zipCode: String[1];	ACCEPTED	
graphfetch-subtype.pure	duplicate-field	street: String[1];	ACCEPTED	
graphfetch-subtype.pure	duplicate-field	area: Float[1];	ACCEPTED	
graphfetch-subtype.pure	island-close-plain	offset 1370	REJECTED	Unexpected token
graphfetch-subtype.pure	island-close-plain	offset 1149	REJECTED	Unexpected token '<EOF>'. Valid alternatives: [',', ')']
graphfetch-subtype.pure	island-open-plain	offset 980	REJECTED	Unexpected token '::'. Valid alternatives: [',', '|']
graphfetch-subtype.pure	island-open-plain	offset 1236	REJECTED	Unexpected token '::'. Valid alternatives: [',', '|']
graphfetch-subtype.pure	keyword-lowercase	Address -> address	ACCEPTED	
graphfetch-subtype.pure	keyword-lowercase	Catalog -> catalog	ACCEPTED	
graphfetch-subtype.pure	keyword-lowercase	Circle -> circle	ACCEPTED	
graphfetch-subtype.pure	wrong-section	Pure -> Text	REJECTED	Unexpected token 'Class'. Valid alternatives: ['Text']
graphql-embedded.pure	brace-body-to-paren	line at 1453	REJECTED	Unexpected token '('. Valid alternatives: ['[']
graphql-embedded.pure	brace-body-to-paren	line at 2747	REJECTED	Unexpected token '('. Valid alternatives: ['[']
graphql-embedded.pure	island-close-plain	offset 504	ACCEPTED	
graphql-embedded.pure	island-close-plain	offset 2660	REJECTED	Unexpected token
graphql-embedded.pure	island-close-plain	offset 2907	REJECTED	Unexpected token
graphql-embedded.pure	keyword-lowercase	AMERICAS -> aMERICAS	ACCEPTED	
graphql-embedded.pure	keyword-lowercase	APAC -> aPAC	ACCEPTED	
graphql-embedded.pure	keyword-lowercase	Boolean -> boolean	ACCEPTED	
graphql-embedded.pure	wrong-section	Pure -> Text	REJECTED	Unexpected token 'function'. Valid alternatives: ['Text']
keyword-as-identifier.pure	delete-field	function: |fixture::kw::Person.all()->project([col(p|$p.rela	REJECTED	Mapping Test Suite requires a query function
keyword-as-identifier.pure	drop-semicolon	function: |fixture::kw::Person.all()->project([col(p|$p.rela	REJECTED	no viable alternative at input '->project([col(p|$p.relation,'relation')])tests'
keyword-as-identifier.pure	duplicate-field	function: |fixture::kw::Person.all()->project([col(p|$p.rela	REJECTED	Field 'function' should be specified only once
keyword-as-identifier.pure	island-close-plain	offset 1627	REJECTED	Unexpected token '<EOF>'. Valid alternatives: [',', ']']
keyword-as-identifier.pure	island-close-plain	offset 1651	REJECTED	Unexpected token '<EOF>'. Valid alternatives: [',', ']']
keyword-as-identifier.pure	island-close-plain	offset 1891	REJECTED	Unexpected token '<EOF>'. Valid alternatives: [',', ']']
keyword-as-identifier.pure	island-open-plain	offset 1436	REJECTED	Unexpected token '{'
keyword-as-identifier.pure	island-open-plain	offset 1545	REJECTED	Unexpected token '}'. Valid alternatives: [',', ']']
keyword-as-identifier.pure	island-open-plain	offset 1791	REJECTED	Unexpected token '{'
keyword-as-identifier.pure	keyword-lowercase	Mapping -> mapping	REJECTED	'mapping' is not a known section parser
keyword-as-identifier.pure	keyword-lowercase	ModelStore -> modelStore	ACCEPTED	
keyword-as-identifier.pure	keyword-lowercase	Person -> person	ACCEPTED	
keyword-as-identifier.pure	paren-body-to-brace	line at 1121	REJECTED	Unexpected token '{'
keyword-as-identifier.pure	paren-body-to-brace	line at 988	REJECTED	Unexpected token '{'
keyword-as-identifier.pure	wrong-section	QueryPostProcessor -> Text	REJECTED	Unexpected token 'RelationalMapper'. Valid alternatives: ['Text']
m3-expressions.pure	brace-body-to-paren	line at 1202	REJECTED	Unexpected token '('. Valid alternatives: ['extends', 'projects', '[', '<']
m3-expressions.pure	brace-body-to-paren	line at 1309	REJECTED	Unexpected token '('. Valid alternatives: ['[']
m3-expressions.pure	brace-body-to-paren	line at 1460	REJECTED	Unexpected token '('. Valid alternatives: ['[']
m3-expressions.pure	delete-field	name: String[1];	ACCEPTED	
m3-expressions.pure	delete-field	size: Integer[1];	ACCEPTED	
m3-expressions.pure	drop-semicolon	name: String[1];	REJECTED	Unexpected token 'size'. Valid alternatives: ['=', ';']
m3-expressions.pure	drop-semicolon	size: Integer[1];	REJECTED	Unexpected token '}'. Valid alternatives: ['=', ';']
m3-expressions.pure	duplicate-field	name: String[1];	ACCEPTED	
m3-expressions.pure	duplicate-field	size: Integer[1];	ACCEPTED	
m3-expressions.pure	keyword-lowercase	Class -> class	REJECTED	Unexpected token 'class'. Valid alternatives: ['Class', 'Association', 'Profile', 'Enum', 'Measure', 'function', 'native
m3-expressions.pure	keyword-lowercase	Integer -> integer	ACCEPTED	
m3-expressions.pure	keyword-lowercase	Product -> product	ACCEPTED	
m3-expressions.pure	swap-siblings	name: String[1];	ACCEPTED	
m3-expressions.pure	wrong-section	Pure -> Text	REJECTED	Unexpected token 'Class'. Valid alternatives: ['Text']
mapping-extends.pure	keyword-lowercase	Database -> database	REJECTED	Unexpected token 'database'. Valid alternatives: ['Database']
mapping-extends.pure	keyword-lowercase	Employee -> employee	ACCEPTED	
mapping-extends.pure	keyword-lowercase	Mapping -> mapping	REJECTED	'mapping' is not a known section parser
mapping-extends.pure	paren-body-to-brace	line at 311	REJECTED	Unexpected token '{'
mapping-extends.pure	paren-body-to-brace	line at 473	REJECTED	Unexpected token '{'
mapping-extends.pure	wrong-section	Relational -> Text	REJECTED	Unexpected token 'Database'. Valid alternatives: ['Text']
mapping-legacy-and-suites.pure	delete-field	query: |fixture::map::Person.all()->project([p|$p.firstName]	REJECTED	Field 'query' is required
mapping-legacy-and-suites.pure	delete-field	assert: '[{"values":["Ada"]}]';	REJECTED	Field 'assert' is required
mapping-legacy-and-suites.pure	delete-field	doc: 'suite level documentation';	ACCEPTED	
mapping-legacy-and-suites.pure	drop-semicolon	doc: 'suite level documentation';	REJECTED	Unexpected token
mapping-legacy-and-suites.pure	drop-semicolon	query: |fixture::map::Person.all()->project([p|$p.firstName]	REJECTED	no viable alternative at input '->project([p|$p.firstName],['First Name'])data'
mapping-legacy-and-suites.pure	drop-semicolon	assert: '[{"values":["Ada"]}]';	REJECTED	no viable alternative at input ''[{"values":["Ada"]}]')'
mapping-legacy-and-suites.pure	duplicate-field	query: |fixture::map::Person.all()->project([p|$p.firstName]	REJECTED	Field 'query' should be specified only once
mapping-legacy-and-suites.pure	duplicate-field	assert: '[{"values":["Ada"]}]';	REJECTED	Field 'assert' should be specified only once
mapping-legacy-and-suites.pure	duplicate-field	doc: 'suite level documentation';	REJECTED	Field 'doc' should be specified only once
mapping-legacy-and-suites.pure	island-close-plain	offset 2558	REJECTED	no viable alternative at input '->graphFetch(#{fixture::map::Person{firstName}});\n tests:\n [\n test1:\n {\n doc: 'test
mapping-legacy-and-suites.pure	island-close-plain	offset 2991	REJECTED	Unexpected token '<EOF>'. Valid alternatives: [',', ']']
mapping-legacy-and-suites.pure	island-close-plain	offset 3015	REJECTED	Unexpected token '<EOF>'. Valid alternatives: [',', ']']
mapping-legacy-and-suites.pure	island-open-plain	offset 2525	REJECTED	no viable alternative at input '->graphFetch({fixture::map::Person'
mapping-legacy-and-suites.pure	island-open-plain	offset 2792	REJECTED	Unexpected token '{'
mapping-legacy-and-suites.pure	island-open-plain	offset 2908	REJECTED	Unexpected token '}'. Valid alternatives: [',', ']']
mapping-legacy-and-suites.pure	keyword-lowercase	Base -> base	ACCEPTED	
mapping-legacy-and-suites.pure	keyword-lowercase	Database -> database	ACCEPTED	
mapping-legacy-and-suites.pure	keyword-lowercase	EqualToJson -> equalToJson	REJECTED	Unknown test assertion type: equalToJson
mapping-legacy-and-suites.pure	paren-body-to-brace	line at 1020	REJECTED	Unexpected token '{'
mapping-legacy-and-suites.pure	paren-body-to-brace	line at 1482	REJECTED	Unexpected token '{'
mapping-legacy-and-suites.pure	paren-body-to-brace	line at 1519	REJECTED	Unexpected token '{'
mapping-legacy-and-suites.pure	swap-siblings	doc: 'suite level documentation';	ACCEPTED	
mapping-legacy-and-suites.pure	swap-siblings	contentType: 'application/json';	ACCEPTED	
mapping-legacy-and-suites.pure	wrong-section	Relational -> Text	REJECTED	Unexpected token 'Database'. Valid alternatives: ['Text']
relational-binding-transformer.pure	brace-body-to-paren	line at 691	REJECTED	Unexpected token '('
relational-binding-transformer.pure	delete-field	contentType: 'application/json';	REJECTED	Field 'contentType' is required
relational-binding-transformer.pure	drop-semicolon	contentType: 'application/json';	REJECTED	Unexpected token
relational-binding-transformer.pure	duplicate-field	contentType: 'application/json';	REJECTED	Field 'contentType' should be specified only once
relational-binding-transformer.pure	keyword-lowercase	Binding -> binding	ACCEPTED	
relational-binding-transformer.pure	keyword-lowercase	Database -> database	REJECTED	Unexpected token 'database'. Valid alternatives: ['Database']
relational-binding-transformer.pure	keyword-lowercase	ExternalFormat -> externalFormat	ACCEPTED	
relational-binding-transformer.pure	paren-body-to-brace	line at 499	REJECTED	Unexpected token '{'
relational-binding-transformer.pure	paren-body-to-brace	line at 822	REJECTED	Unexpected token '{'
relational-binding-transformer.pure	wrong-section	Relational -> Text	REJECTED	Unexpected token 'Database'. Valid alternatives: ['Text']
relational-milestoning.pure	keyword-lowercase	DATE -> dATE	ACCEPTED	
relational-milestoning.pure	keyword-lowercase	Database -> database	REJECTED	Unexpected token 'database'. Valid alternatives: ['Database']
relational-milestoning.pure	keyword-lowercase	MilestonedDb -> milestonedDb	ACCEPTED	
relational-milestoning.pure	paren-body-to-brace	line at 552	REJECTED	Unexpected token '{'
relational-milestoning.pure	wrong-section	Relational -> Text	REJECTED	Unexpected token 'Database'. Valid alternatives: ['Text']
relational-schema.pure	keyword-lowercase	BOOK -> bOOK	ACCEPTED	
relational-schema.pure	keyword-lowercase	BookGrain -> bookGrain	ACCEPTED	
relational-schema.pure	keyword-lowercase	BookPosition -> bookPosition	ACCEPTED	
relational-schema.pure	paren-body-to-brace	line at 786	REJECTED	Unexpected token '{'
relational-schema.pure	wrong-section	Relational -> Text	REJECTED	Unexpected token 'Database'. Valid alternatives: ['Text']
runtime-forms.pure	brace-body-to-paren	line at 421	REJECTED	Unexpected token '('
runtime-forms.pure	brace-body-to-paren	line at 548	REJECTED	Unexpected token '('
runtime-forms.pure	brace-body-to-paren	line at 683	REJECTED	Unexpected token '('
runtime-forms.pure	delete-field	class: fixture::rt::Person;	REJECTED	Field 'class' is required
runtime-forms.pure	delete-field	url: 'model://fixture/person';	REJECTED	Field 'url' is required
runtime-forms.pure	delete-field	connection: fixture::rt::ModelConn;	REJECTED	Field 'connection' is required
runtime-forms.pure	drop-semicolon	class: fixture::rt::Person;	REJECTED	Unexpected token
runtime-forms.pure	drop-semicolon	url: 'model://fixture/person';	REJECTED	Unexpected token
runtime-forms.pure	drop-semicolon	connection: fixture::rt::ModelConn;	REJECTED	Unexpected token '}'
runtime-forms.pure	duplicate-field	class: fixture::rt::Person;	REJECTED	Field 'class' should be specified only once
runtime-forms.pure	duplicate-field	url: 'model://fixture/person';	REJECTED	Field 'url' should be specified only once
runtime-forms.pure	duplicate-field	connection: fixture::rt::ModelConn;	REJECTED	Field 'connection' should be specified only once
runtime-forms.pure	keyword-lowercase	Connection -> connection	REJECTED	'connection' is not a known section parser
runtime-forms.pure	keyword-lowercase	JsonModelConnection -> jsonModelConnection	REJECTED	Unsupported connection value type: jsonModelConnection
runtime-forms.pure	keyword-lowercase	ModelConn -> modelConn	ACCEPTED	
runtime-forms.pure	swap-siblings	class: fixture::rt::Person;	ACCEPTED	
runtime-forms.pure	wrong-section	Connection -> Text	REJECTED	Unexpected token 'JsonModelConnection'. Valid alternatives: ['Text']
service-execenv.pure	brace-body-to-paren	line at 547	REJECTED	Unexpected token '('
