test	mode	position	shapes	sql_prefix	census_arms
meta::relational::testDataGeneration::tests::testSimpleTwoTableMultipleStartRows	default	project	plain-join	select top 20  	"bicycle_0".ID, "bicycle_0".b_PersonID  from testDataGen_Temp_Person as "testdatagen_temp_person_0"  	inner join Bicycle  	as "bicycle_0" 	 on (	exists-material
meta::relational::testDataGeneration::tests::testSimpleViewRootToJoin	default	project	no-sql-golden		exists-material
meta::relational::testDataGeneration::tests::testUnion	default	project	single-table	select top 20  	"root".ID, "root".name  from FirmSet1 as "root"  where "root".name = 'Firm X'	exists-material
meta::relational::testDataGeneration::tests::testUnion	default	project	plain-join	select top 20  	"personmaster_0".FirmID, "personmaster_0".ID, "personmaster_0".lastName  from testDataGen_Temp_FirmSet1 as "testdatagen_temp_firmset1_0"  	inner	exists-material
meta::relational::testDataGeneration::tests::testUnion	default	project	plain-join	select top 20  	"personmaster_0".FirmID, "personmaster_0".ID, "personmaster_0".lastName  from testDataGen_Temp_FirmSet1 as "testdatagen_temp_firmset1_0"  	inner	exists-material
meta::relational::testDataGeneration::tests::testUnion	default	project	single-table	select top 20  	"root".ID, "root".name  from FirmSet2 as "root"  where "root".name = 'Firm A'	exists-material
meta::relational::testDataGeneration::tests::testUnion	default	project	plain-join	select top 20  	"personmaster_0".FirmID, "personmaster_0".ID, "personmaster_0".lastName  from testDataGen_Temp_FirmSet2 as "testdatagen_temp_firmset2_0"  	inner	exists-material
meta::relational::testDataGeneration::tests::testUnion	default	project	plain-join	select top 20  	"personmaster_0".FirmID, "personmaster_0".ID, "personmaster_0".lastName  from testDataGen_Temp_FirmSet2 as "testdatagen_temp_firmset2_0"  	inner	exists-material
meta::relational::testDataGeneration::tests::testUnionToUnionMultipleLevels	default	project	no-sql-golden		exists-material
meta::relational::testDataGeneration::tests::testUnionToUnionMultipleLevelsWithStringHashing	default	project	no-sql-golden		exists-material
meta::relational::testDataGeneration::tests::testUnionViewOnView	default	project	no-sql-golden		exists-material
meta::relational::testDataGeneration::tests::testViewEmbeddedInChainedJoin	default	project	no-sql-golden		exists-material
meta::relational::tests::advanced::failures::moveFilterInOnClause::failMoveFilterInOnClauseJoin	default	map+project	filtered-subselect-join+top-where-pred	select "root".NAME as "name", "synonymtable_0".NAME as "cusip" from productTable as "root" left outer join (select "synonymtable_1".PRODID as PRODID, "synonymta	exists-material
meta::relational::tests::advanced::failures::moveFilterInOnClause::failMoveFilterInOnClauseModel	default	map+project	filtered-subselect-join+top-where-pred	select "root".NAME as "name", "synonymtable_0".NAME as "cusip" from productTable as "root" left outer join (select "synonymtable_1".PRODID as PRODID, "synonymta	exists-material
meta::relational::tests::advanced::forced::filter::testFilterMappingWithProjectionOverlappForcedCorrelated	forced	other	filtered-subselect-join+top-where-pred	select "root".name as "name", "orgtable_1".name as "p_name", "orgtable_3".name as "p_p_name" from orgTable as "root" left outer join (select "orgtable_2".id as 	correlated-count-reducer|exists-material
meta::relational::tests::advanced::forced::filter::testFilterMappingWithProjectionOverlappForcedOnClause	forced	other	top-where-pred	select "root".name as "name", "orgtable_1".name as "p_name", "orgtable_2".name as "p_p_name" from orgTable as "root" left outer join orgTable as "orgtable_1" on	correlated-count-reducer|exists-material
meta::relational::tests::advanced::forced::injection::testProject	forced	map+project	no-sql-golden		correlated-count-reducer|exists-material
meta::relational::tests::advanced::forced::milestoning::testMilestoningQueryWithSimpleProjectWithMilestoneFilterForcedCorrelated	forced	other	filtered-subselect-join+top-where-pred	select "root".name as "name", "productclassificationtable_0".type_description as "classificationDescription" from ProductTable as "root" left outer join (select	exists-material
meta::relational::tests::advanced::forced::milestoning::testMilestoningQueryWithSimpleProjectWithMilestoneFilterForcedCorrelated	forced	other	filtered-subselect-join+top-where-pred	select "root".name as "name", "productclassificationtable_0".type_description as "classificationDescription" from ProductTable as "root" left outer join (select	exists-material
meta::relational::tests::advanced::forced::milestoning::testMilestoningQueryWithSimpleProjectWithMilestoneFilterForcedOnClause	forced	other	on-clause-literal-pred+top-where-pred	select "root".name as "name", "productclassificationtable_0".type_description as "classificationDescription" from ProductTable as "root" left outer join Product	exists-material
meta::relational::tests::advanced::forced::milestoning::testMilestoningQueryWithSimpleProjectWithMilestoneFilterForcedOnClause	forced	other	top-where-pred	select "root".name as "name", "productclassificationtable_0".type_description as "classificationDescription" from ProductTable as "root" left outer join Product	exists-material
meta::relational::tests::advanced::forced::milestoning::testNonMilestoningQueryWithMilestoneFilterProjectForcedCorrelated	forced	other	filtered-subselect-join+top-where-pred	select "root".id as "orderId", "producttable_2".name as "productName" from OrderTable as "root" left outer join (select distinct "producttable_1".id from (selec	exists-join-form-dedup|exists-material
meta::relational::tests::advanced::forced::milestoning::testNonMilestoningQueryWithMilestoneFilterProjectForcedCorrelated	forced	other	filtered-subselect-join+top-where-pred	select "root".id as "orderId", "producttable_2".name as "productName" from OrderTable as "root" left outer join (select distinct "producttable_1".id from (selec	exists-join-form-dedup|exists-material
meta::relational::tests::advanced::forced::milestoning::testNonMilestoningQueryWithMilestoneFilterProjectForcedOnClause	forced	other	filtered-subselect-join+on-clause-literal-pred+top-where-pred	select "root".id as "orderId", "producttable_2".name as "productName" from OrderTable as "root" left outer join (select distinct "producttable_1".id, "productta	exists-join-form-dedup|exists-material
meta::relational::tests::advanced::forced::milestoning::testNonMilestoningQueryWithMilestoneFilterProjectForcedOnClause	forced	other	filtered-subselect-join+top-where-pred	select "root".id as "orderId", "producttable_2".name as "productName" from OrderTable as "root" left outer join (select distinct "producttable_1".id, "productta	exists-join-form-dedup|exists-material
meta::relational::tests::advanced::forced::qualifier::testDerivedWithFilteringTwoPropertiesForcedCorrelated	forced	other	filtered-subselect-join+top-where-pred	select "root".NAME as "name", "synonymtable_0".NAME as "cusip", "synonymtable_2".NAME as "isin" from productSchema.productTable as "root" left outer join (selec	exists-material
meta::relational::tests::advanced::forced::qualifier::testDerivedWithFilteringTwoPropertiesForcedOnClause	forced	other	on-clause-literal-pred	select "root".NAME as "name", "synonymtable_0".NAME as "cusip", "synonymtable_1".NAME as "isin" from productSchema.productTable as "root" left outer join produc	exists-material
meta::relational::tests::advanced::forced::structure::testQualifierQuery	forced	filter	top-where-pred	select "root".ID as "pk_0", "root".LEGALNAME as "legalName" from firmTable as "root" left outer join (select "persontable_1".FIRMID as FIRMID, "persontable_1".F	exists-join-form-dedup|exists-material
meta::relational::tests::advanced::forced::structure::testQualifierQueryWithOr	forced	filter	top-where-pred	select "root".ID as "pk_0", "root".LEGALNAME as "legalName" from firmTable as "root" left outer join (select "persontable_1".FIRMID as FIRMID, "persontable_1".F	exists-material
meta::relational::tests::advanced::forced::structure::testQualifierWithOperation	forced	map	top-where-pred	select concat("persontable_0".FIRSTNAME, 'Test') from firmTable as "root" left outer join (select "persontable_0".FIRMID as FIRMID, "persontable_0".FIRSTNAME as	exists-material
meta::relational::tests::advanced::forced::structure::testTwoQualifiersWithOperation	forced	map	top-where-pred	select concat("persontable_0".FIRSTNAME, "persontable_2".FIRSTNAME) from firmTable as "root" left outer join (select "persontable_0".FIRMID as FIRMID, "personta	exists-material
meta::relational::tests::advanced::forcedselfjoin::isolationTest	default	filter+project	filtered-subselect-join+top-where-pred	select "root".legalName as "firmname", concat("persontable_0".firstName, ' ', "persontable_0".lastName) as "employeeProductName", "persontable_1".name as "testC	exists-material
meta::relational::tests::advanced::resultSourcing::relationalResultSourcingOfList	default	filter+project	no-sql-golden		exists-join-form-dedup|exists-material
meta::relational::tests::advanced::structure::testForcedIsolationFilterOnTop	forced	filter	top-where-pred	select "root".ID as "pk_0", "root".LEGALNAME as "legalName" from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable	exists-material
meta::relational::tests::advanced::structure::testIfIncludingQualifiers	default	filter+project	filtered-subselect-join+top-where-pred	select case when true then "persontable_2".LASTNAME else "persontable_3".LASTNAME end as "name1" from firmTable as "root" left outer join (select distinct "pers	correlated-count-reducer|exists-join-form-dedup|exists-material
meta::relational::tests::advanced::structure::testLiteralConditionsForcedIsolation	forced	filter	filtered-subselect-join+top-where-pred	select "root".ID as "pk_0", "root".LEGALNAME as "legalName" from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable	exists-join-form-dedup|exists-material
meta::relational::tests::advanced::structure::testMultipleIsolationWithSameProp	default	filter+project	filtered-subselect-join+top-where-pred	select "root".FIRSTNAME as "1", "addresstable_2".NAME as "2" from personTable as "root" left outer join (select "firmtable_1".ID as ID, "firmtable_1".ADDRESSID 	exists-material
meta::relational::tests::advanced::structure::testQualifierContainingAJoinWithIsolationAndExistsDeep	default	filter	top-where-pred	select "root".ID as "pk_0", "root".FIRSTNAME as "firstName", "root".AGE as "age", "root".LASTNAME as "lastName" from personTable as "root" left outer join firmT	exists-join-form-dedup|exists-material
meta::relational::tests::advanced::structure::testQualifierQuery	default	filter	top-where-pred	select "root".ID as "pk_0", "root".LEGALNAME as "legalName" from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable	exists-join-form-dedup|exists-material
meta::relational::tests::advanced::structure::testQualifierQueryWithOr	default	filter	top-where-pred	select "root".ID as "pk_0", "root".LEGALNAME as "legalName" from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable	exists-material
meta::relational::tests::advanced::structure::testQualifierWithForkAndOrWithInline	default	filter+map+project	filtered-subselect-join+top-where-pred	select "persontable_3".FIRSTNAME as "name1", "persontable_3".LASTNAME as "name2", "persontable_0".LASTNAME as "name3", "persontable_3".LASTNAME as "name4", "per	exists-material
meta::relational::tests::advanced::structure::testQualifierWithForkAndOrWithInlineWithOffset	default	filter+map+project	filtered-subselect-join+top-where-pred	select "root".LASTNAME as "name1", "firmtable_0".LEGALNAME as "name2", "persontable_3".FIRSTNAME as "name3", "persontable_3".LASTNAME as "name4", "persontable_3	exists-join-form-dedup|exists-material
meta::relational::tests::advanced::structure::testQualifierWithForkAndOrWithInlineWithOffsetExplosion	default	filter+map+project	filtered-subselect-join+top-where-pred	select "root".LASTNAME as "name1", "firmtable_0".LEGALNAME as "name2", "persontable_3".FIRSTNAME as "name3", "persontable_6".FIRSTNAME as "name4", "persontable_	exists-join-form-dedup|exists-material
meta::relational::tests::advanced::structure::testQualifierWithIsolation	forced	project	filtered-subselect-join+top-where-pred	select case when "persontable_0".LASTNAME = 'ok' then null else "persontable_0".AGE * "persontable_4".AGE end as "name1" from firmTable as "root" left outer joi	exists-material
meta::relational::tests::advanced::structure::testQualifierWithIsolationAndExists	default	filter+project	filtered-subselect-join+top-where-pred	select "persontable_2".LASTNAME as "name1" from firmTable as "root" left outer join (select distinct "persontable_1".FIRMID from personTable as "persontable_1" 	correlated-count-reducer|exists-join-form-dedup|exists-material
meta::relational::tests::advanced::structure::testQualifierWithIsolationAndExistsDeep	default	filter	filtered-subselect-join+top-where-pred	select "root".ID as "pk_0", "root".FIRSTNAME as "firstName", "root".AGE as "age", "root".LASTNAME as "lastName" from personTable as "root" left outer join firmT	correlated-count-reducer|exists-join-form-dedup|exists-material
meta::relational::tests::advanced::structure::testQualifierWithIsolationAndExistsDeepWithParallelProject	default	filter+project	filtered-subselect-join+top-where-pred	select "persontable_4".LASTNAME as "name1" from personTable as "root" left outer join firmTable as "firmtable_0" on ("firmtable_0".ID = "root".FIRMID) left oute	exists-join-form-dedup|exists-material
meta::relational::tests::advanced::structure::testQualifierWithIsolationForced	forced	project	filtered-subselect-join+top-where-pred	select case when "persontable_1".LASTNAME = 'smith' then 'ok' else 'bla' end as "name1", "firmtable_1".LEGALNAME as "name3" from personTable as "root" left oute	exists-material
meta::relational::tests::advanced::structure::testQualifierWithIsolationForced2	forced	project	filtered-subselect-join+top-where-pred	select "firmtable_1".LEGALNAME as "name1", "addresstable_0".NAME as "name2" from personTable as "root" left outer join firmTable as "firmtable_0" on ("firmtable	exists-material
meta::relational::tests::advanced::structure::testQualifierWithIsolationXX	default	project	on-clause-literal-pred	select case when "persontable_0".LASTNAME = 'ok' then null else concat("persontable_0".LASTNAME, "firmtable_1".LEGALNAME) end as "name1" from firmTable as "root	exists-material
meta::relational::tests::advanced::structure::testQualifierWithLineAndOrWithInLine	default	filter+map+project	filtered-subselect-join+top-where-pred	select "root".LEGALNAME as "name1", "persontable_0".FIRSTNAME as "name2", "persontable_0".LASTNAME as "name3" from firmTable as "root" left outer join (select "	exists-material
meta::relational::tests::advanced::structure::testQualifierWithOperation	default	map	top-where-pred	select concat("persontable_0".FIRSTNAME, 'Test') from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "persontable_0".FIRMID)	exists-material
meta::relational::tests::advanced::structure::testTwoQualifiersWithOperation	default	map	top-where-pred	select concat("persontable_0".FIRSTNAME, "persontable_2".FIRSTNAME) from firmTable as "root" left outer join personTable as "persontable_0" on ("root".ID = "per	exists-material
meta::relational::tests::aggregationAware::testRewrite::objectGroupBy::testRewriteEmployeeToSales	default	filter+project	plain-join	select "root".first_name as "Sales Person First Name", "product_0".prod_id as "Product ID", "salestable_0".discount as "Discount" from base_view.Employee as "ro	exists-material
meta::relational::tests::aggregationAware::testRewrite::objectGroupBy::testRewriteEmployeeToSalesBackToEmployee	default	filter+project	plain-join	select "root".first_name as "Sales Person First Name", "employee_1".first_name as "All Sales Person First Name", "salestable_0".discount as "Discount" from base	exists-material
meta::relational::tests::aggregationAware::testRewrite::objectGroupBy::testRewriteEmployeeToSalesToProduct	default	filter+project	plain-join	select "root".first_name as "Sales Person First Name", "product_0".prod_id as "Product ID", "product_0".prod_name as "Product Name", "employee_1".first_name as 	exists-material
meta::relational::tests::aggregationAware::testRewrite::objectGroupBy::testRewriteEmployeeToSalesToProductToProdLine	default	filter+project	plain-join	select "root".first_name as "Sales Person First Name", "product_0".prod_id as "Product ID", "productline_0".prod_line_name as "Product Line", "employee_1".first	exists-material
meta::relational::tests::aggregationAware::testRewrite::objectGroupBy::testRewriteSwitchToProdLineSalesPersonYearTable	default	groupBy	grouped-subselect-join	select "employee_0".last_name as "Sales Person Last Name", "productline_0".prod_line_name as "Product Line", "salestable_prodline_salesperson_year_1".aggCol as 	exists-material
meta::relational::tests::aggregationAware::testRewrite::objectGroupBy::testRewriteSwitchToProdLineYearTable	default	groupBy	grouped-subselect-join	select "productline_0".prod_line_name as "Product Line", "salestable_prodline_year_1".aggCol as "Products Concat", sum("root".revenue) as "Total Price 1" from u	exists-material
meta::relational::tests::aggregationAware::testRewrite::objectGroupBy::testRewriteSwitchToProductMonthTable	default	filter+groupBy	top-where-pred	select "product_0".prod_id as "Product ID", "product_0".prod_name as "Product Name", "productline_0".prod_line_name as "Product Line", "calendar_0".fiscal_month	exists-material
meta::relational::tests::aggregationAware::testRewrite::objectGroupBy::testRewriteSwitchToSalesTable	default	groupBy	plain-join	select "product_0".prod_id as "Product ID", "root".discount as "Discount", "calendar_0".dt_date as "Product Date/Date", "calendar_0".fiscal_month as "Product Da	exists-material
meta::relational::tests::aggregationAware::testRewrite::objectGroupBy::testRewriteSwitchToSalesTableWithQualifiedProperty	default	groupBy	plain-join	select concat("product_0".prod_name, ': ', cast("root".revenue as varchar)) as "Product Description", sum("root".revenue) as "Total Price Sum" from user_view_ag	exists-material
meta::relational::tests::aggregationAware::testRewrite::objectGroupBy::testRewriteWithMilestonedDescriptionPropertyAccess	default	groupBy	filtered-subselect-join+top-where-pred	select "product_0".prod_id as "Product ID", concat("productdescription_0".prod_description, ':', 'abc') as "Product Description", sum("root".revenue) as "Revenu	exists-material
meta::relational::tests::aggregationAware::testRewrite::objectGroupBy::testRewriteWithMilestonedDescriptionPropertyAccess	default	groupBy	filtered-subselect-join+top-where-pred	select "product_0".prod_id as "Product ID", concat("productdescription_0".prod_description, ':', 'abc') as "Product Description", sum("root".revenue) as "Revenu	exists-material
meta::relational::tests::aggregationAware::testRewrite::objectGroupBy::testRewriteWithTDSJoin	default	filter+groupBy	grouped-subselect-join+top-where-pred	select "salestable_month_0"."Product ID" as "Product ID", "salestable_month_0"."Total Price 1" as "Total Price 1", "salestable_month_0"."Total Price 2" as "Tota	exists-material
meta::relational::tests::aggregationAware::testRewriteAsNOP::nonAggregationAware::testRewriteFilter	default	filter	top-where-pred	select "product_0".prod_id from base_view.SalesTable as "root" left outer join base_view.Product as "product_0" on ("root".product_id = "product_0".prod_id) whe	exists-material
meta::relational::tests::aggregationAware::testRewriteAsNOP::nonAggregationAware::testRewriteProjectCol	default	filter+project	plain-join	select "product_0".prod_id as "Product ID" from base_view.SalesTable as "root" left outer join base_view.Product as "product_0" on ("root".product_id = "product	exists-material
meta::relational::tests::aggregationAware::testRewriteAsNOP::nonAggregationAware::testRewriteProjectColMulti	default	filter+project	plain-join	select "product_0".prod_id as "Product ID", case when "root".is_cancelled_flag = 'Y' then 'true' else 'false' end as "Is Cancelled" from base_view.SalesTable as	exists-material
meta::relational::tests::aggregationAware::testRewriteAsNOP::nonAggregationAware::testRewriteProjectFunction	default	filter+project	plain-join	select "product_0".prod_id as "Product ID" from base_view.SalesTable as "root" left outer join base_view.Product as "product_0" on ("root".product_id = "product	exists-material
meta::relational::tests::aggregationAware::testRewriteAsNOP::nonAggregationAware::testRewriteProjectFunctionMulti	default	filter+project	plain-join	select "product_0".prod_id as "Product ID", case when "root".is_cancelled_flag = 'Y' then 'true' else 'false' end as "Is Cancelled" from base_view.SalesTable as	exists-material
meta::relational::tests::aggregationAware::testRewriteAsNOP::nonAggregationAware::testRewriteTDSGroupBy	default	filter+project+groupBy	plain-join	select case when "root".is_cancelled_flag = 'Y' then 'true' else 'false' end as "Is Cancelled", max("product_0".prod_id) as "Max Product ID" from base_view.Sale	exists-material
meta::relational::tests::aggregationAware::testRewriteAsNOP::nonAggregationAware::testRewriteTDSOperation	default	filter+project	plain-join	select "product_0".prod_id as "Product ID", case when "root".is_cancelled_flag = 'Y' then 'true' else 'false' end as "Is Cancelled", "product_0".prod_id + 2 as 	exists-material
meta::relational::tests::aggregationAware::testRewriteAsNOP::nonGroupBy::testRewriteFilter	default	filter	top-where-pred	select "product_0".prod_id from base_view.SalesTable as "root" left outer join base_view.Product as "product_0" on ("root".product_id = "product_0".prod_id) whe	exists-material
meta::relational::tests::aggregationAware::testRewriteAsNOP::nonGroupBy::testRewriteProjectCol	default	project	plain-join	select "product_0".prod_id as "Product ID" from base_view.SalesTable as "root" left outer join base_view.Product as "product_0" on ("root".product_id = "product	exists-material
