# NATIVE CLAIMS CENSUS — 2026-09-10 snapshot (program §3 D1; homework §3n).
# The 175 Pure.java FQNs whose signatureKey is in NONE of the four lowering registries
# (Scalars.RULES, Aggregates.REDUCERS, Windows.FNS, Windows.AGGREGATES), not a CoreFn
# name, not in WALLED_NATIVES — classified by which ad-hoc core/main file names them.
#   OFF-REGISTRY IMPL  named in a lowering/exec/verdict file  -> implemented, must CLAIM
#   FRONT-END-ONLY     named only in compiler/resolver/normalizer -> grey, adjudicate
#   CONSTANT-ONLY      named only as a PlatformTypes/SystemMetamodel constant -> unimplemented
#   NONE               named nowhere outside Pure.java -> unimplemented
# Regenerate: tools/native-axes.py (needs core/target/lowering-coverage-probe.txt from the
# probe in homework §3n). Superseded the day the claim registry (batch 3) makes it a
# computed fact.
class	fqn	handlers
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::CYMinus2	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::CYMinus3	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::annualized	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::cme	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::cw	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::cw_fm	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::mtd	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::p12mtd	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::p12wa	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::p12wtd	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::p4wa	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::p4wtd	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::p52wa	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::p52wtd	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::pma	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::pmtd	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::pqtd	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::priorDay	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::priorYear	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::pw	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::pw_fm	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::pwa	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::pwtd	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::pymtd	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::pyqtd	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::pytd	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::pywa	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::pywtd	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::qtd	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::reportEndDay	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::wtd	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::date::calendar::ytd	CalendarAgg
OFF-REGISTRY IMPL	meta::pure::functions::math::mathUtility::rowMapper	Lowerer
OFF-REGISTRY IMPL	meta::pure::functions::math::wavgUtility::wavgRowMapper	Lowerer
OFF-REGISTRY IMPL	meta::pure::functions::math::zScore	Lowerer
OFF-REGISTRY IMPL	meta::pure::functions::meta::genericType	AssertVerdicts; Typer; GenericTypeReflection
OFF-REGISTRY IMPL	meta::pure::functions::meta::instanceOf	LiteralUnroll; ResultEnvelopeSplice; Typer; Lowerer; Substitution
OFF-REGISTRY IMPL	meta::pure::functions::relation::lateral	Lowerer
OFF-REGISTRY IMPL	meta::pure::functions::relation::offset	Lexicon
OFF-REGISTRY IMPL	meta::pure::functions::relation::reduce	TypedAggCol; Lowerer
OFF-REGISTRY IMPL	meta::pure::functions::relation::rows	AssertVerdicts; Frames; ResultEnvelopeSplice; TdsSurfaceReads; Typer; ExecutionResult; JsonEmission; Anchors; Lexicon
OFF-REGISTRY IMPL	meta::pure::functions::variant::navigation::get	JoinChecker; LiteralUnroll; Typer; ScanRelations; Lowerer; MappingNormalizer; RelOpTranslator; JsonSourceFrame
OFF-REGISTRY IMPL	meta::pure::tds::getBoolean	JoinChecker; Typer; RowGetters
OFF-REGISTRY IMPL	meta::pure::tds::getDate	JoinChecker; Typer; RowGetters
OFF-REGISTRY IMPL	meta::pure::tds::getDateTime	JoinChecker; Typer; RowGetters
OFF-REGISTRY IMPL	meta::pure::tds::getDecimal	JoinChecker; Typer; RowGetters
OFF-REGISTRY IMPL	meta::pure::tds::getFloat	JoinChecker; Typer; RowGetters
OFF-REGISTRY IMPL	meta::pure::tds::getInteger	JoinChecker; Typer; RowGetters
OFF-REGISTRY IMPL	meta::pure::tds::getNumber	JoinChecker; Typer; RowGetters
OFF-REGISTRY IMPL	meta::pure::tds::getStrictDate	JoinChecker; Typer; RowGetters
OFF-REGISTRY IMPL	meta::pure::tds::getString	JoinChecker; Typer; RowGetters; Substitution
OFF-REGISTRY IMPL	meta::relational::metamodel::execute::executeInDb	ConnectionLets
OFF-REGISTRY IMPL	meta::relational::tests::csv::toCSV	AssertVerdicts
