# MODEL-PATH REFUSAL ALLOWLIST — oracle parse-accepted sources lite's MODEL transform refuses (the compile-seam family).
# The ENGINE also refuses these at ITS compile stage; lite refuses at FromProtocol with the engine's compile text, and the
# PROTOCOL bytes still match (harvest MODEL-PATH-refuses:BYTES-MATCH). Id-level, replacing the old message-prefix pardon
# (HARNESS_SIMPLIFICATION_PLAN 5c: a prefix absorbs unrelated future refusals; a file cannot).
# id	reason
legend-engine-xts-dataquality/legend-engine-xt-dataquality-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/toPureGraph/TestDataQualityCompilationFromGrammar.java#43	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/toPureGraph/TestDataQualityCompilationFromGrammar.java#45	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/toPureGraph/TestDataQualityCompilationFromGrammar.java#51	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/toPureGraph/TestDataQualityCompilationFromGrammar.java#53	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/toPureGraph/TestDataQualityCompilationFromGrammar.java#54	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/toPureGraph/TestDataQualityCompilationFromGrammar.java#9	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/toPureGraph/TestDataQualityCompilationFromGrammar.java#57	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-compiler/src/test/java/org/finos/legend/engine/language/pure/compiler/toPureGraph/TestDataQualityCompilationFromGrammar.java#59	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-generation/src/test/java/org/finos/legend/engine/generation/dataquality/TestDataQualityLambdaGenerator.java#4	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-generation/src/test/java/org/finos/legend/engine/generation/dataquality/TestDataQualityLambdaGenerator.java#7	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-generation/src/test/java/org/finos/legend/engine/generation/dataquality/TestDataQualityLambdaGenerator.java#10	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-grammar/src/test/java/org/finos/legend/engine/language/dataquality/grammar/from/TestDataQualityParsing.java#17	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-grammar/src/test/java/org/finos/legend/engine/language/dataquality/grammar/from/TestDataQualityParsing.java#18	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-grammar/src/test/java/org/finos/legend/engine/language/dataquality/grammar/from/TestDataQualityParsing.java#27	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-grammar/src/test/java/org/finos/legend/engine/language/dataquality/grammar/from/TestDataQualityParsing.java#38	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-grammar/src/test/java/org/finos/legend/engine/language/dataquality/grammar/to/TestDataQualityRoundtrip.java#5	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-grammar/src/test/java/org/finos/legend/engine/language/dataquality/grammar/to/TestDataQualityRoundtrip.java#6	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-dataquality/legend-engine-xt-dataquality-grammar/src/test/java/org/finos/legend/engine/language/dataquality/grammar/to/TestDataQualityRoundtrip.java#10	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-elasticsearch/legend-engine-xt-elasticsearch-V7-grammar/src/test/java/org/finos/legend/engine/language/stores/elasticsearch/v7/compiler/TestElasticsearchCompiler.java#0	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-elasticsearch/legend-engine-xt-elasticsearch-V7-grammar/src/test/java/org/finos/legend/engine/language/stores/elasticsearch/v7/compiler/TestElasticsearchCompiler.java#1	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-elasticsearch/legend-engine-xt-elasticsearch-V7-grammar/src/test/java/org/finos/legend/engine/language/stores/elasticsearch/v7/to/TestElasticsearchGrammarRoundtrip.java#3	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-elasticsearch/legend-engine-xt-elasticsearch-V7-grammar/src/test/java/org/finos/legend/engine/language/stores/elasticsearch/v7/to/TestElasticsearchGrammarRoundtrip.java#4	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-elasticsearch/legend-engine-xt-elasticsearch-V7-grammar/src/test/java/org/finos/legend/engine/language/stores/elasticsearch/v7/to/TestElasticsearchGrammarRoundtrip.java#6	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-elasticsearch/legend-engine-xt-elasticsearch-V7-grammar/src/test/java/org/finos/legend/engine/language/stores/elasticsearch/v7/to/TestElasticsearchGrammarRoundtrip.java#7	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-elasticsearch/legend-engine-xt-elasticsearch-V7-grammar/src/test/java/org/finos/legend/engine/language/stores/elasticsearch/v7/to/connection/TestElasticsearchConnectionGrammarRoundtrip.java#0	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-mongodb/legend-engine-xt-nonrelationalStore-mongodb-grammar-integration/src/test/java/org/finos/legend/engine/language/pure/grammar/integration/TestMongoDBCompiler.java#3	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-mongodb/legend-engine-xt-nonrelationalStore-mongodb-grammar-integration/src/test/java/org/finos/legend/engine/language/pure/grammar/integration/TestMongoDBGrammarRoundTrip.java#4	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-mongodb/legend-engine-xt-nonrelationalStore-mongodb-grammar-integration/src/test/java/org/finos/legend/engine/language/pure/grammar/integration/TestMongoDBMappingCompiler.java#2	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-mongodb/legend-engine-xt-nonrelationalStore-mongodb-grammar-integration/src/test/java/org/finos/legend/engine/language/pure/grammar/integration/TestMongoDBMappingGrammarRoundTrip.java#0	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-mongodb/legend-engine-xt-nonrelationalStore-mongodb-grammar-integration/src/test/java/org/finos/legend/engine/language/pure/grammar/integration/TestMongoDBMappingGrammarRoundTrip.java#1	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-bigquery/legend-engine-xt-relationalStore-bigquery-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestBigQueryConnectionGrammarRoundtrip.java#1	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-bigquery/legend-engine-xt-relationalStore-bigquery-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestBigQueryConnectionGrammarRoundtrip.java#2	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-bigquery/legend-engine-xt-relationalStore-bigquery-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestBigQueryConnectionGrammarRoundtrip.java#3	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-redshift/legend-engine-xt-relationalStore-redshift-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestRedshiftConnectionGrammarRoundtrip.java#0	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-snowflake/legend-engine-xt-relationalStore-snowflake-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestSnowflakeConnectionGrammarCompiler.java#0	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-snowflake/legend-engine-xt-relationalStore-snowflake-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestSnowflakeConnectionGrammarCompiler.java#47	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-snowflake/legend-engine-xt-relationalStore-snowflake-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestSnowflakeConnectionGrammarParser.java#11	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-snowflake/legend-engine-xt-relationalStore-snowflake-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestSnowflakeConnectionGrammarParser.java#17	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-snowflake/legend-engine-xt-relationalStore-snowflake-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestSnowflakeConnectionGrammarRoundtrip.java#2	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-snowflake/legend-engine-xt-relationalStore-snowflake-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestSnowflakeConnectionGrammarRoundtrip.java#3	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-snowflake/legend-engine-xt-relationalStore-snowflake-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestSnowflakeConnectionGrammarRoundtrip.java#5	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-snowflake/legend-engine-xt-relationalStore-snowflake-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestSnowflakeConnectionGrammarRoundtrip.java#6	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-snowflake/legend-engine-xt-relationalStore-snowflake-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestSnowflakeConnectionGrammarRoundtrip.java#7	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-snowflake/legend-engine-xt-relationalStore-snowflake-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestSnowflakeConnectionGrammarRoundtrip.java#8	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-snowflake/legend-engine-xt-relationalStore-snowflake-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestSnowflakeConnectionGrammarRoundtrip.java#9	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-snowflake/legend-engine-xt-relationalStore-snowflake-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestSnowflakeConnectionGrammarRoundtrip.java#10	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-spanner/legend-engine-xt-relationalStore-spanner-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestSpannerConnectionGrammarRoundtrip.java#0	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-spanner/legend-engine-xt-relationalStore-spanner-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestSpannerConnectionGrammarRoundtrip.java#3	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-spanner/legend-engine-xt-relationalStore-spanner-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestSpannerConnectionGrammarRoundtrip.java#4	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-trino/legend-engine-xt-relationalStore-trino-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestTrinoConnectionGrammarCompiler.java#0	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-dbExtension/legend-engine-xt-relationalStore-trino/legend-engine-xt-relationalStore-trino-grammar/src/test/java/org/finos/legend/engine/language/pure/grammar/test/TestTrinoConnectionGrammarRoundtrip.java#0	C12 harvest 2026-08-14: model-transform seam refusal; queued census family
