bucket,status,family,test,file,line,detail
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,pureToSQLQuery/tests,testReAliasMergedJoinOperations,pureToSQLQuery/tests/testPureToSql.pure,156,no execute(|...) call — wall: in function 'meta::relational::tests::functions::pureToSqlQuery::buildJoinTreeNode': class 'meta::external::query::sql::metamodel::Join' has no property 'name'
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),ERROR,router/tests,testPlatformExpressionDependencyOnAFromExpression,router/tests/testRouting.pure,220,no overload of 'routeFunction' matches 4 argument(s) of these shapes (no candidates at all)
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),ERROR,router/tests,testPlatformExpressionDependencyOnAFromExpression2,router/tests/testRouting.pure,234,no overload of 'routeFunction' matches 4 argument(s) of these shapes (no candidates at all)
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,router/tests,testRoutingOfSimpleQualifiedProperty,router/tests/testRouting.pure,187,no execute(|...) call [calls meta::external::store::relational::tests] — wall: no overload of 'routeFunction' matches 6 argument(s) of these shapes (no candidates at all)
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,sqlQueryToString,testProcessIdentifierWithQuoteChar,sqlQueryToString/extensionDefaults.pure,564,"no execute(|...) call [calls meta::relational::functions::sqlQueryToString::h2::v2_1_214] — wall: Unknown type: 'CoreDataType' is not a known primitive, class, or enum"
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,sqlQueryToString/testSuite,testTempTableSqlStatementsForH2,sqlQueryToString/testSuite/testTempTableSqlStatements.pure,115,"no execute(|...) call [calls meta::relational::functions::sqlQueryToString::tests] — wall: Unknown type: 'SQLQuery' is not a known primitive, class, or enum"
1. ENGINE SELF-METAMODEL (pure-implemented compiler internals),SHAPE,tests,testTranslateDbType,tests/testRelationalExtension.pure,143,no execute(|...) call [calls meta::relational::metamodel::datatype] — wall: unknown class 'meta::relational::metamodel::datatype::Varchar' in ^meta::relational::metamodel::datatype::Varchar(…)
10. HARNESS SHAPE (assert/body form unrecognised),SHAPE,functions/tests,testComplexOrExistsToManyProperty,functions/tests/testExists.pure,81,statement 'map' failed through the pipeline: class query under TypedMap is not resolvable yet (H2 vocabulary)
10. HARNESS SHAPE (assert/body form unrecognised),SHAPE,functions/tests/projection,H2Test,functions/tests/projection/testIn.pure,184,"no execute(|...) call [calls meta::relational::metamodel::execute] — wall: Values of types ""BOOLEAN"" and ""CHARACTER VARYING(5)"" are not comparable; SQL statement: | SELECT case when false = 'false' then 'Ok' else 'Error' END as BooleanVarCharComparison [90110-214]"
10. HARNESS SHAPE (assert/body form unrecognised),SHAPE,lineage/scanRelations,testTableToTdsWithCrossJoin,lineage/scanRelations/scanRelationsTests.pure,995,scanRelations: scanRelations: tableToTDS join condition beyond a single equality pending
10. HARNESS SHAPE (assert/body form unrecognised),SHAPE,lineage/scanRelations,testTableToTdsWithJoinAndUnion,lineage/scanRelations/scanRelationsTests.pure,920,scanRelations: scanRelations: tableToTDS join side is not a single table source
10. HARNESS SHAPE (assert/body form unrecognised),SHAPE,lineage/scanRelations,testTdsJoinConcatenateAndJoin,lineage/scanRelations/scanRelationsTests.pure,1012,scanRelations: scanRelations: tableToTDS join side is not a single table source
10. HARNESS SHAPE (assert/body form unrecognised),SHAPE,modelToModelToRelational/milestoned,testFlatten_ViaNoArgMapping,modelToModelToRelational/milestoned/milestonedSourceToNonMilestonedTargetProperty.pure,139,"no execute(|...) call [calls meta::pure::graphFetch::tests::m2m2r::milestoning::milestonedSourceToNonMilestonedTargetProperty] — wall: from() argument 1 must be a mapping or runtime reference, got TypedUserCall"
10. HARNESS SHAPE (assert/body form unrecognised),SHAPE,modelToModelToRelational/milestoned,testFlatten_ViaNoArgMapping_ViaAssociation,modelToModelToRelational/milestoned/milestonedSourceToNonMilestonedTargetProperty.pure,170,"no execute(|...) call [calls meta::pure::graphFetch::tests::m2m2r::milestoning::milestonedSourceToNonMilestonedTargetProperty] — wall: from() argument 1 must be a mapping or runtime reference, got TypedUserCall"
10. HARNESS SHAPE (assert/body form unrecognised),SHAPE,tds/tests,resolveSchemaTest,tds/tests/testTdsSchema.pure,24,no execute(|...) call [calls meta::relational::functions::database] — wall: assert form 'meta::pure::tds::schema::tests::assertSchemaRoundTripEquality/2' is not supported yet
10. HARNESS SHAPE (assert/body form unrecognised),SHAPE,testDataGeneration/tests,testAlloyTestDatGenForNestedViews,testDataGeneration/tests/testDataGeneration.pure,3039,no verifying assertions
10. HARNESS SHAPE (assert/body form unrecognised),SHAPE,testDataGeneration/tests,testTableToTdsWithJoinAndUnion,lineage/scanRelations/scanRelationsTests.pure,920,scanRelations: tableToTDS join side is not a single table source
10. HARNESS SHAPE (assert/body form unrecognised),SHAPE,tests,testExecuteInDbToTDS,tests/testRelationalExtension.pure,132,no execute(|...) call [calls meta::relational::metamodel::execute] — wall: let-bound setup: NormalizeRequired function 'meta::relational::metamodel::execute::resultSetToTDS' has non-let intermediate statements — cannot inline
10. HARNESS SHAPE (assert/body form unrecognised),SHAPE,tests/mapping/enumeration,testEnumTheSame,tests/mapping/enumeration/testEnumerationMapping.pure,94,no execute(|...) call — wall: unknown enumeration 'meta::relational::tests::mapping::enumeration::model::mapping::employeeTestMapping'
10. HARNESS SHAPE (assert/body form unrecognised),SHAPE,tests/mapping/include,testStoreSubstitution,tests/mapping/include/testStoreSubstitution.pure,19,no execute(|...) call — wall: assert form 'assertIs/2' is not supported yet
10. HARNESS SHAPE (assert/body form unrecognised),SHAPE,tests/mapping/relation,testRelationStoreAccessorOnView,tests/mapping/relation/tests.pure,1340,no execute(|...) call [calls meta::external::store::relational::tests] — wall: unknown table 'personView' in database 'meta::relational::tests::mapping::relation::testDB'
10. HARNESS SHAPE (assert/body form unrecognised),SHAPE,tests/mapping/sqlFunction,testAdjustDateTranslationInMappingAndQuery,tests/mapping/sqlFunction/testSqlFunctionsInMapping.pure,627,statement 'map' failed through the pipeline: class query under TypedMap is not resolvable yet (H2 vocabulary)
11. UNCLASSIFIED,ERROR,functions/tests,testExistsWithEmbeddedWithPostProcessor,functions/tests/testExists.pure,166,in function 'meta::relational::postProcessor::transformNonCached': unknown type 'ViewSelectSQLQuery' in @ViewSelectSQLQuery
11. UNCLASSIFIED,ERROR,functions/tests,testQualifierConcatenateTwoSimilarJoinsEmbedded,functions/tests/testConcatenate.pure,166,class-typed property 'oe' of association target 'meta::relational::tests::projection::function::concatenate::model::SubAccount' (embedded) is not supported yet
11. UNCLASSIFIED,ERROR,functions/tests,testSelectChainOfAndOrOperators,functions/tests/testFilters.pure,103,runtime 'rcorpus::Rt' has 2 mappings binding class 'meta::relational::tests::model::simple::Person' (of 2 candidates); class-query dispatch needs exactly one
11. UNCLASSIFIED,ERROR,functions/tests/projection,testExistsAsNullWithSubType,functions/tests/projection/testExists.pure,115,in function 'meta::relational::tests::projection::exists::mappingForMultipleSubTypes$class$meta::relational::tests::projection::exists::ClassFunction': property 'fnScope' of 'meta::relational::tests::projection::exists::ClassFunction': expected meta::relational::tests::projection::exists::FunctionSc
11. UNCLASSIFIED,ERROR,graphFetch/tests/union,testSpecialUnion_m2m2r,graphFetch/tests/union/testUnionRootLevel_relational.pure,674,"from() argument 2 must be a mapping or runtime reference, got TypedNewInstance"
11. UNCLASSIFIED,ERROR,tds/tests,testRestrictWithPostProcessor,tds/tests/testTDSRestrict.pure,268,in function 'meta::relational::postProcessor::transformNonCached': unknown type 'ViewSelectSQLQuery' in @ViewSelectSQLQuery
11. UNCLASSIFIED,ERROR,tds/tests,testTableToTDSWithQuotes,tds/tests/testSort.pure,184,"in call to 'meta::pure::tds::desc', argument 1: expected ColSpec<T>, got String"
11. UNCLASSIFIED,ERROR,tests/mapping/enumeration,testMapping,tests/mapping/enumeration/testEnumerationMapping.pure,105,runtime 'rcorpus::Rt' has 2 mappings binding class 'meta::relational::tests::mapping::enumeration::model::domain::Employee' (of 2 candidates); class-query dispatch needs exactly one
11. UNCLASSIFIED,ERROR,tests/mapping/inheritance,testForcedSubTypeProjectDirect,tests/mapping/inheritance/testInheritanceRelationalMultiJoins.pure,46,"property 'stc_meta__relational__tests__model__inheritance__Bicycle___person' of class 'meta::relational::tests::model::inheritance::RoadVehicle' has no binding in mapping 'meta::relational::tests::mapping::inheritance::relational::multiJoins::inheritance' (unmapped, or routed to a non-root mapping s"
11. UNCLASSIFIED,ERROR,tests/mapping/union,testPartialUnionMappingOfSubTypePrimitiveProperties_EmbeddedMapping,tests/mapping/union/testUnionPartial.pure,120,"property 'stc_meta__relational__tests__mapping__union__partial__PersonExt1___ext1Address' of class 'meta::relational::tests::mapping::union::partial::PersonBase' has no binding in mapping 'meta::relational::tests::mapping::union::partial::partialUnionMappingOfSubTypePrimitiveProperties' (unmapped, o"
11. UNCLASSIFIED,ERROR,tests/query,testFilterTimesWithManyOperands,tests/query/testWithFunction.pure,434,aggregate 'meta::pure::functions::math::sum' over the navigation firm.employees.age whose to-many hop sits BEHIND a to-one head is not supported yet (study #12 — the silent-eaten-aggregate class)
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,executeProjectWithNestedDerivedProperty,executionPlan/tests/m2m2rExecutionPlanTests.pure,120,no execute(|...) call — wall: no overload of 'meta::pure::executionPlan::m2m2r::tests::generateAndExecutePlan' matches 4 argument(s) of these shapes — candidates: [meta::pure::executionPlan::m2m2r::tests::generateAndExecutePlan/4]
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,inheritance,executionPlan/tests/executionPlanTest.pure,1024,assert form 'assertEquals/2' is not supported yet — plan wall: plan: no class mapping for 'meta::relational::tests::model::inheritance::RoadVehicle' under 'meta::relational::tests::mapping::inheritance::relational::inheritanceMappingDB'
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,planGraphFetchWithDerivedProperty,executionPlan/tests/m2m2rExecutionPlanTests.pure,37,assert form 'assertEquals/2' is not supported yet — plan wall: class query under TypedGraphFetch is not resolvable yet (H2 vocabulary)
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,planGraphFetchWithNestedDerivedProperty,executionPlan/tests/m2m2rExecutionPlanTests.pure,167,assert form 'assertEquals/2' is not supported yet — plan wall: class query under TypedGraphFetch is not resolvable yet (H2 vocabulary)
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,relationalTDSTypeForColumnsAndQuoting,executionPlan/tests/executionPlanTest.pure,2409,assert form 'assertEquals/2' is not supported yet — plan wall: planToString: no getAll root (multi-node plans pending)
2. EXECUTION-PLAN subsystem,FAIL,executionPlan/tests,tdsJoinTwoDBExtend,executionPlan/tests/executionPlanTest.pure,1867,"assertEquals: expected Sequence\n(\n type = TDS[(firstName, String, VARCHAR(200), """"), (eID, Integer, INT, """"), (fID, Integer, INT, """"), (legalName, String, VARCHAR(200), """")]\n (\n Allocation\n (\n type = TDS[(firstName, String, VARCHAR(200), """"), (eID, Integer, INT, """")]\n name = tdsVar\n value = \n (\n Relational\n (\n type = TDS[(firstName, String, VARCHAR(200), """"), (eID, Integer, INT, """")]\n"
2. EXECUTION-PLAN subsystem,FAIL,executionPlan/tests,tdsJoinTwoDBWithColumnMappedViaJoins,executionPlan/tests/executionPlanTest.pure,1807,"assertEquals: expected Sequence\n(\n type = TDS[(firstName, String, VARCHAR(200), """"), (eID, Integer, INT, """"), (managerID, Integer, INT, """"), (fID, Integer, INT, """"), (legalName, String, VARCHAR(200), """")]\n (\n Allocation\n (\n type = TDS[(firstName, String, VARCHAR(200), """"), (eID, Integer, INT, """"), (managerID, Integer, INT, """")]\n name = tdsVar\n value = \n (\n Relational\n (\n type = TDS[(fi"
2. EXECUTION-PLAN subsystem,ERROR,executionPlan/tests,tdsTwoJoinThreeDB,executionPlan/tests/executionPlanTest.pure,1905,No value present
2. EXECUTION-PLAN subsystem,FAIL,executionPlan/tests,testCrossDbPlanGenerationWithFromWithoutExternalMapping,executionPlan/tests/executionPlanTest.pure,1990,"assertEquals: expected Sequence\n(\n type = TDS[(firstName, String, VARCHAR(200), """"), (eID, Integer, INT, """"), (fID, Integer, INT, """"), (legalName, String, VARCHAR(200), """")]\n (\n Allocation\n (\n type = TDS[(firstName, String, VARCHAR(200), """"), (eID, Integer, INT, """")]\n name = tdsVar\n value = \n (\n Relational\n (\n type = TDS[(firstName, String, VARCHAR(200), """"), (eID, Integer, INT, """")]\n"
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,testCrossDbPlanGenerationWithRelationFromWithOnlyRuntimes,executionPlan/tests/executionPlanTest.pure,2025,"no execute(|...) call [calls meta::relational::extension] — wall: assert form 'assertEquals/2' is not supported yet — plan wall: executionPlan mapping argument must be a reference (or the query must carry ->from), got TypedNativeCall"
2. EXECUTION-PLAN subsystem,ERROR,executionPlan/tests,testDatabaseConnectionSQLPopulation,executionPlan/tests/executionPlanTest.pure,1772,class meta::relational::mapping::SQLExecutionNode has no property 'connection'
2. EXECUTION-PLAN subsystem,ERROR,executionPlan/tests,testDatabaseConnectionSQLPopulationLegacy,executionPlan/tests/executionPlanTest.pure,1761,class meta::relational::mapping::SQLExecutionNode has no property 'connection'
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,testEnumPushDownWithExternalFormat,executionPlan/tests/executionPlanTest.pure,2672,"assert form 'assertEquals/2' is not supported yet — plan wall: unknown function 'meta::external::format::shared::transformation::tests::exampleExternalFormatExtension' — no function of this name in the native or user catalog (unported platform function, or a misspelling)"
2. EXECUTION-PLAN subsystem,FAIL,executionPlan/tests,testExecutionPLanGenerationForFromInAllocation,executionPlan/tests/executionPlanTest.pure,2266,assertEquals: expected Allocation\n(\n type = Class[impls=(meta::pure::mapping::modelToModel::test::shared::src::_Firm | relationalMapping.meta_pure_mapping_modelToModel_test_shared_src__Firm)]\n as meta::pure::mapping::modelToModel::test::shared::src::_Firm\n resultSizeRange = *\n name = var\n value = \n (\n Relational\n (\n type = Class[impls=(meta::pure::mapping::modelToModel::test::shared::src
2. EXECUTION-PLAN subsystem,FAIL,executionPlan/tests,testExecutionPlanGenerationForInWithVarAndConstantInputs,executionPlan/tests/executionPlanTest.pure,2360,"assertEquals: expected RelationalBlockExecutionNode(type=TDS[(fullName,String,VARCHAR(1000),"""")](FunctionParametersValidationNode(functionParameters=[name:String[1]])Allocation(type=Stringname=tempVarForIn_4value=(Constant(type=Stringvalues=[John,Peter,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50])))Cre"
2. EXECUTION-PLAN subsystem,FAIL,executionPlan/tests,testExecutionPlanGenerationForLambdaFromWithEnumMapping,executionPlan/tests/executionPlanTest.pure,2856,assert did not hold (false)
2. EXECUTION-PLAN subsystem,FAIL,executionPlan/tests,testExecutionPlanGenerationForMultipleInWithTwoCollectionInputs,executionPlan/tests/executionPlanTest.pure,2350,"assertEquals: expected RelationalBlockExecutionNode(type=TDS[(fullName,String,VARCHAR(1000),"""")](FunctionParametersValidationNode(functionParameters=[name:String[*],name1:String[*]])Allocation(type=Stringname=inFilterClause_namevalue=(FreeMarkerConditionalExecutionNode(type=Stringcondition=${(instanceOf(name,""Stream"")||((collectionSize(name![])?number)>32767))?c}trueBlock=(Sequence(type=String(Cre"
2. EXECUTION-PLAN subsystem,FAIL,executionPlan/tests,testFilterInWithResultSorcedFromAnExpression,executionPlan/tests/executionPlanTest.pure,108,"assertEquals: expected Sequence(type=TDS[(firm,String,VARCHAR(200),"""")](FunctionParametersValidationNode(functionParameters=[y:String[1]])Allocation(type=StringresultSizeRange=*name=zvalue=(PureExp(type=StringresultSizeRange=*requires=[y(String[1])]expression=$y->split(','))))RelationalBlockExecutionNode(type=TDS[(firm,String,VARCHAR(200),"""")](Allocation(type=Stringname=inFilterClause_zvalue=(Free"
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,testGraphFetchH2TempTableStrategy,executionPlan/tests/executionPlanTest.pure,2796,assert form 'assertEquals/2' is not supported yet — plan wall: class meta::pure::graphFetch::executionPlan::StoreMappingGlobalGraphFetchExecutionNode has no property 'localGraphFetchExecutionNode'
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,testGraphFetchH2TempTableStrategyWithQuoteIdentifiers,executionPlan/tests/executionPlanTest.pure,2818,assert form 'assertEquals/2' is not supported yet — plan wall: class meta::pure::graphFetch::executionPlan::StoreMappingGlobalGraphFetchExecutionNode has no property 'localGraphFetchExecutionNode'
2. EXECUTION-PLAN subsystem,FAIL,executionPlan/tests,testGroupByWithOpenVariableInAgg,executionPlan/tests/executionPlanTest.pure,1171,"assertEquals: expected Sequence\n(\n type = TDS[(Sales Division, String, VARCHAR(30), """"), (Income Function, Number, FLOAT, """")]\n (\n Allocation\n (\n type = Class[impls=(meta::relational::tests::groupBy::datePeriods::domain::FiscalCalendarDate | myMapping.meta_relational_tests_groupBy_datePeriods_domain_FiscalCalendarDate)]\n as meta::relational::tests::groupBy::datePeriods::domain::FiscalCalend"
2. EXECUTION-PLAN subsystem,FAIL,executionPlan/tests,testGroupByWithTwoOpenVariablesInAggAndFilter,executionPlan/tests/executionPlanTest.pure,1254,"assertEquals: expected Sequence\n(\n type = TDS[(Sales Division, String, VARCHAR(30), """"), (Income Function, Number, FLOAT, """")]\n (\n Allocation\n (\n type = StrictDate\n resultSizeRange = 1\n name = startDate\n value = \n (\n Constant\n (\n type = StrictDate\n resultSizeRange = 1\n values=[2015-02-25]\n )\n )\n )\n Allocation\n (\n type = Class[impls=(meta::relational::tests::groupBy::datePeriod"
2. EXECUTION-PLAN subsystem,FAIL,executionPlan/tests,testMapWithOpenVariable,executionPlan/tests/executionPlanTest.pure,1369,"assertEquals: expected Sequence\n(\n type = Integer\n resultSizeRange = *\n (\n Allocation\n (\n type = Integer\n resultSizeRange = 1\n name = a\n value = \n (\n Constant\n (\n type = Integer\n resultSizeRange = 1\n values=[10]\n )\n )\n )\n Relational\n (\n type = Integer\n resultSizeRange = *\n resultColumns = [(""firmtable_1"".aggCol + ${a}, """")]\n sql = select ""firmtable_1"".aggCol + ${a} from fi"
2. EXECUTION-PLAN subsystem,FAIL,executionPlan/tests,testMapWithOpenVariableOutsideBlock,executionPlan/tests/executionPlanTest.pure,1551,"assertEquals: expected Relational\n(\n type = Integer\n resultSizeRange = *\n resultColumns = [(""firmtable_1"".aggCol + 10, """")]\n sql = select ""firmtable_1"".aggCol + 10 from firmTable as ""root"" left outer join (select ""firmtable_1"".ID as ID, count(*) as aggCol from firmTable as ""firmtable_1"" left outer join personTable as ""persontable_0"" on (""firmtable_1"".ID = ""persontable_0"".FIRMID) group by ""fir"
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,testModelConnectionAgg,executionPlan/tests/executionPlanTest.pure,2198,assert form 'assertEquals/2' is not supported yet — plan wall: model-to-model binding of 'meta::pure::mapping::modelToModel::test::shared::dest::Person' in 'meta::pure::mapping::modelToModel::test::simple::simpleModelMapping' navigates '$src._type' — an unmapped non-association property of source cl
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,testModelConnectionDeepFunction,executionPlan/tests/executionPlanTest.pure,2153,assert form 'assertEquals/2' is not supported yet — plan wall: model-to-model binding of 'meta::pure::mapping::modelToModel::test::shared::dest::Person' in 'meta::pure::mapping::modelToModel::test::simple::simpleModelMapping' navigates '$src._type' — an unmapped non-association property of source cl
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,testModelConnectionJoin,executionPlan/tests/executionPlanTest.pure,2178,assert form 'assertEquals/2' is not supported yet — plan wall: class 'meta::pure::mapping::modelToModel::test::shared::src::_Person' is not mapped in mapping 'meta::pure::mapping::modelToModel::test::simple::simpleModelMappingWithAssociation'
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,testModelConnectionMultipleAgg,executionPlan/tests/executionPlanTest.pure,2221,assert form 'assertEquals/2' is not supported yet — plan wall: model-to-model binding of 'meta::pure::mapping::modelToModel::test::shared::dest::Person' in 'meta::pure::mapping::modelToModel::test::simple::simpleModelMapping' navigates '$src._type' — an unmapped non-association property of source cl
2. EXECUTION-PLAN subsystem,FAIL,executionPlan/tests,testMultiExpressionWithPlatformAndFromFunction,executionPlan/tests/executionPlanTest.pure,2696,assertEquals: expected Sequence\n(\n type = Class[impls=(meta::relational::tests::model::simple::Person | simpleRelationalMappingInc.meta_relational_tests_model_simple_Person)]\n as meta::relational::tests::model::simple::Person\n resultSizeRange = *\n (\n FunctionParametersValidationNode\n (\n functionParameters = [names:String[*]]\n )\n Allocation\n (\n type = String\n resultSizeRange = *\n name
2. EXECUTION-PLAN subsystem,ERROR,executionPlan/tests,testPlanForExecutionOption,executionPlan/tests/executionPlanTest.pure,1458,"Unknown type: 'PlanVarPlaceHolder' is not a known primitive, class, or enum"
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,testPlanGenerationForMultipleExpressionsWithPropertyPath,executionPlan/tests/executionPlanTest.pure,677,assert form 'assertEquals/2' is not supported yet — plan wall: plan: struct extraction has no engine-H2 spelling
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,testPlanWithLocalH2ConnectionWithSQL,executionPlan/tests/executionPlanTest.pure,2630,assert form 'assertEquals/2' is not supported yet — plan wall: class meta::relational::mapping::SQLExecutionNode has no property 'connection'
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,testPreprocessFunctionOnRuntime,executionPlan/tests/executionPlanTest.pure,1720,no execute(|...) call [calls meta::pure::executionPlan] — wall: assert form 'assertEquals/2' is not supported yet — plan wall: class 'meta::pure::metamodel::function::FunctionDefinition' has no property 'expressionSequence'
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,testPureExecutionStrategyForCreateAndPopulateTempTableExecutionNode,executionPlan/tests/executionPlanExecutionTest.pure,69,no execute(|...) call [calls meta::external::store::relational::tests] — wall: assert form 'assertEquals/2' is not supported yet — plan wall: unknown class 'Service' in ^Service(…)
2. EXECUTION-PLAN subsystem,SHAPE,executionPlan/tests,testPureExecutionStrategyForRelationalInstantiationExecutionNode,executionPlan/tests/executionPlanExecutionTest.pure,28,no execute(|...) call [calls meta::external::store::relational::tests] — wall: assert form 'assertEquals/2' is not supported yet — plan wall: unknown class 'Service' in ^Service(…)
2. EXECUTION-PLAN subsystem,FAIL,executionPlan/tests,testQuoteIdentifiersFlagWithGraphFetch,executionPlan/tests/executionPlanTest.pure,2619,"assertEquals: expected PureExp(type=Stringexpression=->serialize(#{meta::relational::tests::model::simple::Product{name}}#)(StoreMappingGlobalGraphFetch(type=PartialClass[impls=[(meta::relational::tests::model::simple::Product|simpleRelationalMapping.meta_relational_tests_model_simple_Product)],propertiesWithParameters=[name]]resultSizeRange=*store=meta::relational::tests::dblocalGraphFetchExecuti"
